Load Case ID,Description,CS-25 Reference,Category,Load Type,Load Factor nz,Load Factor nx,Load Factor ny,Airspeed,Altitude,Config,Mass Case,Symmetry,Priority,Governing Component,Status,Notes
LC-F-001,Positive Maneuvering at VA,CS-25.337(b),Flight,Maneuver,3.8,0,0,VA,TBD,Clean,MTOW,Symmetric,High,Wing upper skin,Planned,Design maneuver speed
LC-F-002,Positive Maneuvering at VC,CS-25.337(a),Flight,Maneuver,2.5,0,0,VC,Cruise,Clean,MCW,Symmetric,High,Wing root,Planned,Design cruise speed
LC-F-003,Negative Maneuvering at VA,CS-25.337(b),Flight,Maneuver,-1.5,0,0,VA,TBD,Clean,MTOW,Symmetric,High,Wing lower skin,Planned,Design maneuver speed negative
LC-F-004,Negative Maneuvering at VC,CS-25.337(a),Flight,Maneuver,-1.0,0,0,VC,Cruise,Clean,MCW,Symmetric,Medium,Wing lower skin,Planned,Design cruise speed negative
LC-F-005,Positive Gust at VC (50 ft/s),CS-25.341(a),Flight,Gust,TBD,0,0,VC,Cruise,Clean,MCW,Symmetric,High,Wing root,Planned,Cruise vertical gust
LC-F-006,Negative Gust at VC (50 ft/s),CS-25.341(a),Flight,Gust,TBD,0,0,VC,Cruise,Clean,MCW,Symmetric,High,Wing lower skin,Planned,Cruise negative gust
LC-F-007,Positive Gust at VD (25 ft/s),CS-25.341(a),Flight,Gust,TBD,0,0,VD,TBD,Clean,MTOW,Symmetric,High,Wing structure,Planned,Dive speed gust
LC-F-008,Negative Gust at VD (25 ft/s),CS-25.341(a),Flight,Gust,TBD,0,0,VD,TBD,Clean,MTOW,Symmetric,Medium,Wing structure,Planned,Dive speed negative gust
LC-F-009,Positive Gust at VB (66 ft/s),CS-25.341(a),Flight,Gust,TBD,0,0,VB,TBD,Clean,MTOW,Symmetric,Medium,Wing structure,Planned,Design speed for max gust intensity
LC-F-010,Flaps Extended Maneuver,CS-25.345,Flight,Maneuver,2.0,0,0,VF,TBD,TO Flaps,MTOW,Symmetric,Medium,Flap structure,Planned,Flaps extended positive maneuver
LC-F-011,Flaps Extended Gust,CS-25.345,Flight,Gust,TBD,0,0,VF,TBD,LDG Flaps,MLW,Symmetric,Medium,Flap structure,Planned,Landing config with gust
LC-F-012,Maximum Cabin Pressure at 1g,CS-25.365,Flight,Pressure,1.0,0,0,VC,Cruise,Clean,MCW,Symmetric,High,Fuselage crown,Planned,Max operating pressure differential
LC-F-013,Pressure + Positive Maneuver,CS-25.365,Flight,Combined,2.5,0,0,VC,Cruise,Clean,MCW,Symmetric,High,Fuselage frames,Planned,Pressure + 2.5g maneuver
LC-F-014,Pressure + Negative Maneuver,CS-25.365,Flight,Combined,-1.0,0,0,VC,Cruise,Clean,MCW,Symmetric,Medium,Fuselage keel,Planned,Pressure + -1.0g maneuver
LC-F-101,Rolling Maneuver - Full Aileron,CS-25.349,Flight,Maneuver,TBD,0,TBD,VA,TBD,Clean,MTOW,Asymmetric,High,Aileron hinge,Planned,Maximum aileron deflection
