Equipment,Location,Quantity,Capacity,Certification,Inspection_Interval,Status
Life_Raft,Forward_Cabin,2,50_persons,SOLAS,12_months,Serviceable
Life_Raft,Mid_Cabin_Port,2,50_persons,SOLAS,12_months,Serviceable
Life_Raft,Mid_Cabin_Starboard,2,50_persons,SOLAS,12_months,Serviceable
Life_Raft,Aft_Cabin,2,50_persons,SOLAS,12_months,Serviceable
ELT,Forward_Fuselage,1,406MHz_121.5MHz,COSPAS-SARSAT,6_months,Serviceable
ELT,Aft_Fuselage,1,406MHz_121.5MHz,COSPAS-SARSAT,6_months,Serviceable
Fire_Extinguisher_Halon,Flight_Deck,1,5_lb,FAA/EASA,12_months,Serviceable
Fire_Extinguisher_Halon,Forward_Cabin,2,5_lb,FAA/EASA,12_months,Serviceable
Fire_Extinguisher_Halon,Mid_Cabin,2,5_lb,FAA/EASA,12_months,Serviceable
Fire_Extinguisher_Halon,Aft_Cabin,1,5_lb,FAA/EASA,12_months,Serviceable
Fire_Extinguisher_Water,Forward_Cabin,1,2.5_gal,FAA/EASA,12_months,Serviceable
Fire_Extinguisher_Water,Mid_Cabin,2,2.5_gal,FAA/EASA,12_months,Serviceable
Fire_Extinguisher_Water,Aft_Cabin,1,2.5_gal,FAA/EASA,12_months,Serviceable
Oxygen_Generator,Passenger_Seats,230,22_min,FAA/EASA,Life_limited,Serviceable
Portable_Oxygen,Flight_Deck,2,60_min,FAA/EASA,60_months,Serviceable
Portable_Oxygen,Cabin,4,15_min,FAA/EASA,60_months,Serviceable
First_Aid_Kit,Forward_Cabin,1,Standard,FAA/EASA,Pre-flight,Serviceable
First_Aid_Kit,Mid_Cabin,2,Standard,FAA/EASA,Pre-flight,Serviceable
First_Aid_Kit,Aft_Cabin,1,Standard,FAA/EASA,Pre-flight,Serviceable
Emergency_Medical_Kit,Mid_Cabin,1,Enhanced,FAA/EASA,Monthly,Serviceable
AED,Forward_Cabin,1,Automatic,FDA/CE,Battery_check,Serviceable
AED,Aft_Cabin,1,Automatic,FDA/CE,Battery_check,Serviceable
Megaphone,Forward_Cabin,1,Handheld,N/A,Pre-flight,Serviceable
Megaphone,Aft_Cabin,1,Handheld,N/A,Pre-flight,Serviceable
Emergency_Axe,Flight_Deck,1,Crash_axe,N/A,Pre-flight,Serviceable
Flashlight,Flight_Deck,3,LED,N/A,Pre-flight,Serviceable
Flashlight,Cabin_Crew_Stations,6,LED,N/A,Pre-flight,Serviceable
Smoke_Hood,Flight_Deck,3,PBE,FAA/EASA,Life_limited,Serviceable
Life_Vest,Under_each_seat,230,Adult,SOLAS,12_months,Serviceable
Life_Vest,Infant,10,Infant,SOLAS,12_months,Serviceable
Survival_Kit,Each_Life_Raft,8,SOLAS_B_pack,SOLAS,12_months,Serviceable
