Parameter,Limit_Type,Value,Unit,Condition,Verification,Status
Maximum_Takeoff_Weight,Maximum,95000,kg,Standard_day_sea_level,Analysis,Certified
Maximum_Landing_Weight,Maximum,80000,kg,All_conditions,Analysis,Certified
Maximum_Zero_Fuel_Weight,Maximum,75000,kg,All_conditions,Analysis,Certified
Maximum_Operating_Speed_VMO,Maximum,350,KIAS,All_altitudes,Flight_test,Certified
Maximum_Operating_Mach_MMO,Maximum,0.82,Mach,All_altitudes,Flight_test,Certified
Maximum_Altitude,Maximum,41000,ft,Standard_operations,Flight_test,Certified
Minimum_Control_Speed_VMCA,Minimum,95,KIAS,One_engine_out,Flight_test,Certified
CG_Forward_Limit,Forward,15,percent_MAC,All_weights,Analysis,Certified
CG_Aft_Limit,Aft,35,percent_MAC,All_weights,Analysis,Certified
Maximum_Crosswind_Takeoff,Maximum,25,kt,Dry_runway,Flight_test,Certified
Maximum_Crosswind_Landing,Maximum,30,kt,Dry_runway,Flight_test,Certified
Maximum_Tailwind_Takeoff,Maximum,10,kt,All_runways,Flight_test,Certified
Maximum_Tailwind_Landing,Maximum,10,kt,All_runways,Flight_test,Certified
Minimum_Runway_Width,Minimum,45,m,All_operations,Analysis,Required
Maximum_Demonstrated_Crosswind,Maximum,35,kt,Test_only,Flight_test,Demonstrated
Maximum_Turbulence_Speed_VA,Maximum,280,KIAS,Severe_turbulence,Analysis,Certified
Maneuvering_Load_Factor_Positive,Maximum,2.5,g,Normal_category,Analysis,Certified
Maneuvering_Load_Factor_Negative,Minimum,-1.0,g,Normal_category,Analysis,Certified
Maximum_Cabin_Differential_Pressure,Maximum,9.1,psi,All_altitudes,Analysis,Certified
Maximum_Fuel_Temperature,Maximum,-240,degC,H2_storage,Test,Operational
Minimum_Fuel_Temperature,Minimum,-253,degC,H2_storage,Test,Operational
Maximum_Brake_Energy,Maximum,150,MJ,Rejected_takeoff,Test,Certified
Maximum_Tire_Speed,Maximum,195,kt,Ground_operations,Test,Certified
