Airport,ICAO,Runway,Operation,Visibility,Ceiling,RVR,DH_DA,Special_Conditions,Status
Madrid_Barajas,LEMD,18R,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Madrid_Barajas,LEMD,18R,CAT_II_ILS,300m,100ft,300m,100ft,Dual_FD_AP_required,Approved
Madrid_Barajas,LEMD,18R,CAT_IIIA_ILS,200m,50ft,200m,50ft,HUD_required,Approved
Madrid_Barajas,LEMD,36L,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Barcelona_El_Prat,LEBL,07R,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Barcelona_El_Prat,LEBL,07R,CAT_II_ILS,300m,100ft,300m,100ft,Dual_FD_AP_required,Approved
Barcelona_El_Prat,LEBL,25L,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
London_Heathrow,EGLL,27L,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
London_Heathrow,EGLL,27L,CAT_IIIB_ILS,75m,0ft,75m,0ft,HUDLS_required,Approved
London_Heathrow,EGLL,09R,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Paris_CDG,LFPG,26R,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Paris_CDG,LFPG,26R,CAT_II_ILS,300m,100ft,300m,100ft,Dual_FD_AP_required,Approved
Paris_CDG,LFPG,08L,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Frankfurt,EDDF,25C,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Frankfurt,EDDF,25C,CAT_IIIA_ILS,200m,50ft,200m,50ft,HUD_required,Approved
Frankfurt,EDDF,07C,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Amsterdam_Schiphol,EHAM,18R,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Amsterdam_Schiphol,EHAM,18R,CAT_IIIB_ILS,75m,0ft,75m,0ft,HUDLS_required,Approved
Amsterdam_Schiphol,EHAM,36L,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Rome_Fiumicino,LIRF,16R,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Rome_Fiumicino,LIRF,16R,CAT_II_ILS,300m,100ft,300m,100ft,Dual_FD_AP_required,Pending
Zurich,LSZH,14,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Zurich,LSZH,14,CAT_II_ILS,300m,100ft,300m,100ft,Dual_FD_AP_required,Approved
Munich,EDDM,08R,CAT_I_ILS,550m,200ft,550m,200ft,Standard,Approved
Munich,EDDM,08R,CAT_IIIA_ILS,200m,50ft,200m,50ft,HUD_required,Approved
VFR_Day,ANY,ANY,VFR,5000m,1500ft,N/A,N/A,Cloud_clear,Standard
VFR_Night,ANY,ANY,VFR,5000m,1500ft,N/A,N/A,Cloud_clear_higher_minima,Standard
