Risk_ID,Hazard_Description,Operational_Context,Severity,Probability,Risk_Level,Mitigation_Measures,Residual_Severity,Residual_Probability,Residual_Risk,Acceptance_Authority,Status,Review_Date
SR-001,H2 leak during refueling,Ground refueling operations,Catastrophic (5),Remote (C),5C - ALARP,"8 leak detectors, 50m safety zone, trained personnel, fire equipment, procedures",Catastrophic (5),Extremely Remote (D),5D - Acceptable,Accountable Manager,Active,2025-12-04
SR-002,H2 leak in flight,All flight phases,Catastrophic (5),Remote (C),5C - ALARP,"Double-wall tanks, 8 leak detectors per zone, auto isolation, emergency ventilation, procedures",Catastrophic (5),Extremely Remote (D),5D - Acceptable,Accountable Manager,Active,2025-12-04
SR-003,Fuel cell thermal runaway,High power operations,Hazardous (4),Remote (C),4C - Acceptable,"Thermal management system, temperature monitoring, auto power reduction, cooling redundancy",Major (3),Extremely Remote (D),3D - Acceptable,Head of Safety,Active,2026-02-04
SR-004,Multiple fuel cell stack failure,All flight phases,Hazardous (4),Extremely Remote (D),4D - Acceptable,"N+2 redundancy, independent stacks, health monitoring, predictive maintenance",Major (3),Extremely Improbable (E),3E - Acceptable,Head of Safety,Active,2026-02-04
SR-005,CAOS critical malfunction,Flight operations,Major (3),Remote (C),3C - Acceptable,"Independent safety monitor, conventional fallback, crew override, continuous validation",Minor (2),Remote (C),2C - Acceptable,Department Manager,Active,2026-02-04
SR-006,BWB tail strike on takeoff/landing,Takeoff and landing,Major (3),Remote (C),3C - Acceptable,"Crew training, pitch limits, FDM monitoring, procedures, tail strike protection",Minor (2),Remote (C),2C - Acceptable,Department Manager,Active,2026-02-04
SR-007,CG outside limits,Loading and fuel consumption,Hazardous (4),Remote (C),4C - Acceptable,"CAOS real-time CG monitoring, load planning procedures, crew verification, alerts",Major (3),Extremely Remote (D),3D - Acceptable,Head of Safety,Active,2026-02-04
SR-008,Undetected H2 accumulation,Ground ops with H2 onboard,Catastrophic (5),Extremely Remote (D),5D - Acceptable,"Continuous ventilation (50 ACH), 8 leak detectors, auto ventilation boost, maintenance",Catastrophic (5),Extremely Improbable (E),5E - Acceptable,Head of Safety,Active,2025-12-04
SR-009,H2 fire on ground,Refueling and ground ops,Catastrophic (5),Extremely Remote (D),5D - Acceptable,"Ignition source control, leak detection, fire suppression system, procedures, training",Catastrophic (5),Extremely Improbable (E),5E - Acceptable,Head of Safety,Active,2025-12-04
SR-010,Loss of all fuel cell power,All flight phases,Hazardous (4),Extremely Remote (D),4D - Acceptable,"N+2 redundancy, APU backup, RAT, glide capability, emergency procedures",Major (3),Extremely Improbable (E),3E - Acceptable,Head of Safety,Active,2026-02-04
SR-011,CAOS automation surprise,Flight operations,Major (3),Reasonably Probable (B),3B - Acceptable,"Mode awareness training, clear indications, predictable behavior, crew override",Minor (2),Reasonably Probable (B),2B - Acceptable,Department Manager,Active,2026-02-04
SR-012,Crew over-reliance on CAOS,All operations,Major (3),Remote (C),3C - Acceptable,"Training emphasizes human authority, regular manual operations, CAOS limitations education",Minor (2),Remote (C),2C - Acceptable,Department Manager,Active,2026-02-04
SR-013,Evacuation delay (BWB geometry),Emergency evacuation,Major (3),Remote (C),3C - Acceptable,"Exit distribution optimized, crew training, passenger briefing, 90-sec demonstrated",Minor (2),Remote (C),2C - Acceptable,Department Manager,Active,2026-02-04
SR-014,Wing tip strike during taxi,Ground taxi operations,Minor (2),Remote (C),2C - Acceptable,"Wing walkers for tight spaces, crew clearance awareness, ground markings, training",Minor (2),Extremely Remote (D),2D - Acceptable,Department Manager,Active,2026-05-04
SR-015,Cryogenic exposure (personnel),H2 refueling maintenance,Major (3),Remote (C),3C - Acceptable,"PPE requirements, training, procedures, emergency eyewash/shower, medical protocols",Minor (2),Extremely Remote (D),2D - Acceptable,Department Manager,Active,2026-02-04
SR-016,High voltage exposure (maintenance),Fuel cell maintenance,Major (3),Remote (C),3C - Acceptable,"Lockout/tagout, PPE, insulated tools, training, verification procedures",Minor (2),Extremely Remote (D),2D - Acceptable,Department Manager,Active,2026-02-04
SR-017,Conflicting CAOS-Safety Monitor outputs,Flight operations,Minor (2),Remote (C),2C - Acceptable,"Crew presented both perspectives, crew final authority, event recording, analysis",Minor (2),Remote (C),2C - Acceptable,Department Manager,Active,2026-02-04
SR-018,H2 system degradation (aging),Long-term operations,Major (3),Reasonably Probable (B),3B - Acceptable,"Scheduled inspections, leak testing, component replacement, performance monitoring",Minor (2),Remote (C),2C - Acceptable,Department Manager,Active,2026-05-04
SR-019,Fuel cell performance degradation,Long-term operations,Minor (2),Reasonably Probable (B),2B - Acceptable,"Health monitoring, predictive maintenance, performance trending, stack replacement criteria",Minor (2),Reasonably Probable (B),2B - Acceptable,Department Manager,Active,2026-05-04
SR-020,Crew fatigue affecting performance,Long duty periods,Major (3),Reasonably Probable (B),3B - Acceptable,"Flight/duty time limits, rest requirements, fatigue reporting, scheduling optimization",Minor (2),Remote (C),2C - Acceptable,Department Manager,Active,2026-05-04
