Req_ID,Category,Subcategory,Title,Priority,Status,Source,Parent_ATA,Verification_Method,Criticality
RQ-02-00-01-001,Regulatory,CS-25,CS25 Airworthiness Compliance,Critical,Approved,EASA CS-25.1581,02-00-00,Analysis,Safety
RQ-02-00-01-002,Regulatory,FAR-25,FAR25 Airworthiness Compliance,Critical,Approved,FAA 14 CFR 25.1581,02-00-00,Analysis,Safety
RQ-02-00-01-003,Regulatory,ICAO,ICAO Annex 6 Operations Compliance,Critical,Approved,ICAO Annex 6,02-00-00,Analysis,Safety
RQ-02-00-01-004,Regulatory,EU,EU 965/2012 Air Operations Compliance,Critical,Approved,EU 965/2012,02-00-00,Analysis,Safety
RQ-02-00-01-005,Regulatory,SMS,Safety Management System Implementation,Critical,Approved,ICAO Annex 19,02-00-00,Demonstration,Safety
RQ-02-00-01-006,Regulatory,Documentation,Aircraft Flight Manual Requirements,Critical,Approved,CS-25.1581,02-00-00,Inspection,Safety
RQ-02-00-01-007,Regulatory,Documentation,Flight Crew Operating Manual Requirements,High,Approved,Ops Requirements,02-00-00,Inspection,Operations
RQ-02-00-01-008,Regulatory,Documentation,Minimum Equipment List Requirements,Critical,Approved,CS-25.1581,02-00-00,Inspection,Safety
RQ-02-00-01-009,Regulatory,Extended Ops,ETOPS 180min Approval,High,Approved,CS-25 Appendix K,02-00-00,Test,Performance
RQ-02-00-01-010,Regulatory,Low Visibility,CAT II/III Approach Approval,High,Approved,CS-AWO,02-00-00,Test,Performance
RQ-02-00-01-011,Regulatory,Airspace,RVSM Compliance,High,Approved,ICAO Doc 9574,02-00-00,Test,Performance
RQ-02-00-01-012,Regulatory,Avionics,TCAS II v7.1 Compliance,Critical,Approved,TSO-C119c,02-00-00,Test,Safety
RQ-02-00-01-013,Regulatory,Avionics,ADS-B Out Capability,Critical,Approved,DO-260B,02-00-00,Test,Safety
RQ-02-00-01-014,Regulatory,Avionics,CPDLC Datalink Capability,High,Approved,DO-258A,02-00-00,Test,Operations
RQ-02-00-01-015,Regulatory,H2,ISO 19881 H2 Fuel Container Compliance,Critical,Approved,ISO 19881:2018,02-30-00,Test,Safety
RQ-02-00-01-016,Regulatory,H2,SAE J2719 Hydrogen Fuel Quality,Critical,Approved,SAE J2719,02-30-00,Test,Safety
RQ-02-00-01-017,Regulatory,H2,NFPA 2 Hydrogen Technologies Code,Critical,Approved,NFPA 2:2020,02-30-00,Analysis,Safety
RQ-02-00-01-018,Regulatory,AI,EU AI Act Compliance,High,In Review,EU AI Act Draft,02-90-00,Analysis,Safety
RQ-02-00-01-019,Regulatory,AI,EASA AI Roadmap Compliance,High,In Review,EASA AI Roadmap,02-90-00,Analysis,Safety
RQ-02-00-01-020,Regulatory,Environmental,Environmental Regulations Compliance,High,Approved,ICAO Annex 16,02-00-00,Test,Environmental
RQ-02-00-02-001,Safety,Target,Zero Accident Target,Critical,Approved,SMS Safety Objectives,02-00-00,Demonstration,Safety
RQ-02-00-02-002,Safety,Target,Incident Rate Below 1 per Million FH,Critical,Approved,SMS Safety Objectives,02-00-00,Demonstration,Safety
RQ-02-00-02-003,Safety,H2,H2 Leak Rate Target Below 0.1% Volume,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
RQ-02-00-02-004,Safety,Fuel Cell,Fuel Cell Reliability 99.9% per FH,Critical,Approved,Safety Analysis,02-90-00,Analysis,Safety
RQ-02-00-02-005,Safety,Emergency,Emergency Evacuation 90 Seconds,Critical,Approved,CS-25.803,02-00-00,Test,Safety
RQ-02-00-02-006,Safety,Emergency,Crew Escape Provisions,Critical,Approved,CS-25.807,02-00-00,Demonstration,Safety
RQ-02-00-02-007,Safety,H2,H2-Specific Fire Detection System,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
RQ-02-00-02-008,Safety,H2,H2-Capable Fire Suppression System,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
RQ-02-00-02-009,Safety,H2,H2 Leak Detection 8 Sensors per Zone,Critical,Approved,Safety Analysis,02-30-00,Inspection,Safety
RQ-02-00-02-010,Safety,H2,Emergency Ventilation 50 Air Changes/Hour,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
RQ-02-00-02-011,Safety,Reporting,Safety Reporting System Implementation,Critical,Approved,SMS Requirements,02-00-00,Demonstration,Safety
RQ-02-00-02-012,Safety,Culture,Just Culture Policy Implementation,High,Approved,SMS Requirements,02-00-00,Demonstration,Safety
RQ-02-00-02-013,Safety,Monitoring,Flight Data Monitoring Program,High,Approved,ICAO Annex 6,02-00-00,Demonstration,Safety
RQ-02-00-02-014,Safety,Assessment,Line Operations Safety Audit Program,High,Approved,ICAO Doc 9803,02-00-00,Demonstration,Safety
RQ-02-00-02-015,Safety,Risk,Safety Risk Assessment Process,Critical,Approved,SMS Requirements,02-00-00,Analysis,Safety
RQ-02-00-02-016,Safety,H2,Defense in Depth H2 Safety Design,Critical,Approved,Safety Analysis,02-30-00,Analysis,Safety
RQ-02-00-02-017,Safety,CAOS,Independent Safety Monitor for CAOS,Critical,Approved,AI Safety Requirements,02-90-00,Test,Safety
RQ-02-00-02-018,Safety,CAOS,CAOS Override Capability,Critical,Approved,Human Factors Analysis,02-90-00,Test,Safety
RQ-02-00-02-019,Safety,Authority,Crew Final Authority Over Automation,Critical,Approved,Human Factors Analysis,02-90-00,Demonstration,Safety
RQ-02-00-02-020,Safety,Audit,Annual Safety Audit Program,High,Approved,SMS Requirements,02-00-00,Demonstration,Safety
RQ-02-00-03-001,Performance,Range,Maximum Range 3500 NM,High,Approved,Market Requirements,02-40-00,Test,Performance
RQ-02-00-03-002,Performance,Speed,Cruise Speed Mach 0.82,High,Approved,Design Specification,02-40-00,Test,Performance
RQ-02-00-03-003,Performance,Altitude,Service Ceiling FL450,High,Approved,Design Specification,02-40-00,Test,Performance
RQ-02-00-03-004,Performance,Takeoff,Takeoff Distance 2500m at MTOW,High,Approved,Design Specification,02-40-00,Test,Performance
RQ-02-00-03-005,Performance,Landing,Landing Distance 2000m at MLW,High,Approved,Design Specification,02-40-00,Test,Performance
RQ-02-00-03-006,Performance,Climb,Climb Gradient 3% Minimum,Critical,Approved,CS-25.121,02-40-00,Test,Safety
RQ-02-00-03-007,Performance,Efficiency,Fuel Efficiency 30% Better Than Baseline,High,Approved,Design Specification,02-40-00,Test,Performance
RQ-02-00-03-008,Performance,Fuel Cell,Fuel Cell System Efficiency 55-60%,High,Approved,Design Specification,02-90-00,Test,Performance
RQ-02-00-03-009,Performance,Wind,Crosswind Capability 35 Knots,High,Approved,Design Specification,02-40-00,Test,Performance
RQ-02-00-03-010,Performance,Temperature,Hot Day Performance ISA+15C,High,Approved,Design Specification,02-40-00,Test,Performance
RQ-02-00-03-011,Performance,Temperature,Cold Day Performance ISA-40C,High,Approved,Design Specification,02-40-00,Test,Performance
RQ-02-00-03-012,Performance,Icing,Icing Conditions Performance,Critical,Approved,CS-25.1419,02-40-00,Test,Safety
RQ-02-00-03-013,Performance,Altitude,High Altitude Airport 10000ft Operations,High,Approved,Market Requirements,02-40-00,Test,Performance
RQ-02-00-03-014,Performance,Runway,Contaminated Runway Performance,Critical,Approved,CS-25.1591,02-40-00,Test,Safety
RQ-02-00-03-015,Performance,CAOS,CAOS Performance Optimization 5%,High,Approved,CAOS Requirements,02-90-00,Test,Performance
RQ-02-00-04-001,Operational,Procedures,Standard Operating Procedures Complete,Critical,Approved,Operations Manual,02-00-00,Inspection,Operations
RQ-02-00-04-002,Operational,Checklists,Normal Checklist Structure Defined,Critical,Approved,Operations Manual,02-00-00,Inspection,Operations
RQ-02-00-04-003,Operational,Checklists,Abnormal Checklist Structure Defined,Critical,Approved,Operations Manual,02-00-00,Inspection,Operations
RQ-02-00-04-004,Operational,Checklists,Emergency Checklist Structure Defined,Critical,Approved,Operations Manual,02-00-00,Inspection,Operations
RQ-02-00-04-005,Operational,Memory Items,Memory Items Clearly Defined,Critical,Approved,Operations Manual,02-00-00,Inspection,Safety
RQ-02-00-04-006,Operational,Crew,Crew Composition Requirements Met,Critical,Approved,Operations Manual,02-00-00,Demonstration,Operations
RQ-02-00-04-007,Operational,Crew,Minimum Crew 2 Pilots,Critical,Approved,CS-25.1523,02-00-00,Analysis,Safety
RQ-02-00-04-008,Operational,Crew,Flight Duty Period Limits Defined,Critical,Approved,EU 965/2012,02-00-00,Analysis,Safety
RQ-02-00-04-009,Operational,Crew,Rest Requirements Defined,Critical,Approved,EU 965/2012,02-00-00,Analysis,Safety
RQ-02-00-04-010,Operational,Reliability,Dispatch Reliability 99.5% Target,High,Approved,Operations Requirements,02-00-00,Demonstration,Operations
RQ-02-00-04-011,Operational,Ground Ops,Turnaround Time 45 Minutes,High,Approved,Operations Requirements,02-00-00,Demonstration,Operations
RQ-02-00-04-012,Operational,Utilization,Daily Utilization 11 Hours Target,High,Approved,Operations Requirements,02-00-00,Demonstration,Operations
RQ-02-00-04-013,Operational,Weather,Weather Minima Compliance,Critical,Approved,Operations Manual,02-00-00,Inspection,Safety
RQ-02-00-04-014,Operational,Fuel,Fuel Planning Procedures Defined,Critical,Approved,Operations Manual,02-00-00,Inspection,Safety
RQ-02-00-04-015,Operational,Weight,Weight & Balance Procedures Defined,Critical,Approved,Operations Manual,02-00-00,Inspection,Safety
RQ-02-00-04-016,Operational,Performance,Performance Calculations Defined,Critical,Approved,Operations Manual,02-00-00,Inspection,Safety
RQ-02-00-04-017,Operational,MEL,MEL Dispatch Compliance,Critical,Approved,MEL Document,02-00-00,Inspection,Safety
RQ-02-00-04-018,Operational,Inspection,Pre-Flight Inspection Procedure,Critical,Approved,Operations Manual,02-00-00,Inspection,Operations
RQ-02-00-04-019,Operational,Inspection,Post-Flight Inspection Procedure,High,Approved,Operations Manual,02-00-00,Inspection,Operations
RQ-02-00-04-020,Operational,Maintenance,Maintenance Status Verification,Critical,Approved,Operations Manual,02-00-00,Demonstration,Safety
RQ-02-00-05-001,H2 Operations,Capacity,H2 Total Capacity 8000 kg,Critical,Approved,Design Specification,02-30-00,Inspection,Performance
RQ-02-00-05-002,H2 Operations,Capacity,H2 Usable Fuel 7850 kg Minimum,Critical,Approved,Design Specification,02-30-00,Inspection,Performance
RQ-02-00-05-003,H2 Operations,Temperature,H2 Storage Temperature -253C,Critical,Approved,Design Specification,02-30-00,Test,Safety
RQ-02-00-05-004,H2 Operations,Pressure,H2 Storage Pressure 2.8-3.2 bar,Critical,Approved,Design Specification,02-30-00,Test,Safety
RQ-02-00-05-005,H2 Operations,Boiloff,H2 Boiloff Rate 0.3% per Day Maximum,High,Approved,Design Specification,02-30-00,Test,Performance
RQ-02-00-05-006,H2 Operations,Refueling,Refueling Time 45 Minutes Maximum,High,Approved,Operations Requirements,02-30-00,Demonstration,Operations
RQ-02-00-05-007,H2 Operations,Refueling,Refueling Flow Rate 120 kg/min,High,Approved,Operations Requirements,02-30-00,Test,Operations
RQ-02-00-05-008,H2 Operations,Safety,Safety Zone 50m Radius During Refueling,Critical,Approved,Safety Analysis,02-30-00,Demonstration,Safety
RQ-02-00-05-009,H2 Operations,Safety,Grounding Resistance 3 milliohm Maximum,Critical,Approved,Safety Analysis,02-30-00,Test,Safety
