Design_Element,Verification_Method,Verification_Criteria,Status,Evidence_Doc
Procedures_Structure,Inspection,ATA iSpec 2200 compliance,Complete,VER-02-04-001
Checklist_Format,Demonstration,FAA AC 120-71B compliance,Complete,VER-02-04-002
HMI_Display_Hierarchy,Test,CS-25 Appendix D visibility,Complete,VER-02-04-003
CAOS_Override_Time,Test,<1 second response,Complete,VER-02-04-004
Workload_Taxi,Test,NASA-TLX <70,Complete,VER-02-04-005
Workload_Takeoff,Test,NASA-TLX <90,Complete,VER-02-04-006
Workload_Cruise,Test,NASA-TLX <50,Complete,VER-02-04-007
H2_Synoptic_Clarity,Inspection,60% comprehension <5sec,Complete,VER-02-04-008
Emergency_Procedure_Time,Test,Memory items <30sec,Complete,VER-02-04-009
CAOS_Explanation_Clarity,Test,80% crew understanding,Complete,VER-02-04-010
Documentation_Standards,Inspection,S1000D v6.0 compliance,Complete,VER-02-04-011
Training_Program_Effectiveness,Test,Pass rate >90%,Complete,VER-02-04-012
Safety_Analysis_Completeness,Analysis,All hazards identified,Complete,VER-02-04-013
Flight_Deck_Layout,Test,Reach envelope verification,Complete,VER-02-04-014
Ground_Operations_Timing,Test,45-min turnaround,Complete,VER-02-04-015
H2_Refueling_Safety,Demonstration,Zero incidents in testing,Complete,VER-02-04-016
CAOS_Reliability,Test,99.9% uptime,Complete,VER-02-04-017
Crew_Training_Duration,Analysis,Target hours achieved,Complete,VER-02-04-018
Emergency_Evacuation_Time,Test,<90 seconds,Complete,VER-02-04-019
Documentation_Usability,Test,Task completion rate >95%,Complete,VER-02-04-020
