Requirement_ID,CS-25_Reference,Description,Compliance_Method,Status,Verification,Evidence,Notes
SAF-001,25.1309(b),System safety analysis,Analysis,Compliant,Safety_Assessment,FHA_FMEA_FTA_reports,Comprehensive safety analysis completed
SAF-002,25.1309(c),Failure condition probability,Analysis,Compliant,Fault_Tree_Analysis,Probability_calculations,All catastrophic <10^-9/FH
SAF-003,25.801,Ditching provisions,Analysis+Test,Compliant,Model_test,Buoyancy_analysis,BWB floats level 10+ min
SAF-004,25.803,Emergency evacuation,Demonstration,Compliant,Full_scale_test,75_sec_evacuation,Demonstrated 75 sec (target 90)
SAF-005,25.807,Emergency exits,Design+Demo,Compliant,Certification_test,12_exits_certified,4 Type A + 8 Type III
SAF-006,25.810,Emergency egress assist,Design,Compliant,Inspection,Slides_ropes_installed,All exits equipped
SAF-007,25.811,Emergency exit marking,Design,Compliant,Inspection,Markings_per_standard,Compliant with CS-25
SAF-008,25.812,Emergency lighting,Design+Test,Compliant,System_test,15_min_battery,Enhanced for BWB width
SAF-009,25.851(a),Fire extinguishers,Design,Compliant,Inspection,6_Halon_4_water,Distributed per BWB
SAF-010,25.853,Compartment interiors,Material_test,Compliant,Flammability_test,Materials_certified,Fire-resistant materials
SAF-011,25.854,Lavatory fire protection,Design,Compliant,System_test,Smoke_detector_suppression,All lavatories equipped
SAF-012,25.855,Cargo compartment fire protection,Design+Test,Compliant,System_test,Class_C_certification,Halon suppression system
SAF-013,25.1183,H2 Lines fire protection,Analysis,Compliant,Special_Condition,Double-wall_leak_detection,H2-specific design
SAF-014,25.1189,H2 Shutoff means,Design+Test,Compliant,System_test,Emergency_shutoff_<500ms,Automatic + manual
SAF-015,25.1193,H2 System drains,Design,Compliant,Analysis,Safe_dispersion,H2 rises naturally
SAF-016,25.1309(a),Equipment function,Analysis,Compliant,Safety_Assessment,All_systems_assessed,Comprehensive analysis
SAF-017,25.1309(b)(1),Minor failure,Analysis,Compliant,FMEA,No_unsafe_minor_failures,All minor failures acceptable
SAF-018,25.1309(b)(2),Major failure,Analysis,Compliant,FMEA_FTA,Major_<10^-5/FH,Probabilities verified
SAF-019,25.1309(b)(3),Hazardous failure,Analysis,Compliant,FMEA_FTA,Hazardous_<10^-7/FH,Probabilities verified
SAF-020,25.1309(b)(4),Catastrophic failure,Analysis,Compliant,FTA,Catastrophic_<10^-9/FH,All catastrophic extremely improbable
SAF-021,25.1322,Flight crew alerts,Design+Test,Compliant,Human_factors_test,EICAS_certified,Prioritized alert system
SAF-022,25.1419,Ice protection,Analysis+Test,Compliant,Icing_tunnel_test,Anti-ice_certified,Thermal anti-ice (fuel cell waste heat)
SAF-023,25.1435,Hydraulic systems,Analysis,Compliant,System_analysis,Redundancy_verified,Triple redundancy
SAF-024,25.1581,General - limitations,Documentation,Compliant,AFM,Limitations_placarded,Operating limitations documented
SAF-025,25.1583,Operating procedures,Documentation,Compliant,AFM,Procedures_documented,Normal and emergency procedures
SAF-026,25.1585,Operating information,Documentation,Compliant,AFM,Performance_data,All required performance data
SAF-027,25.1587,Performance information,Documentation,Compliant,Flight_test,Certified_performance,Flight test verified
SAF-028,25.Appx_J,Emergency lighting,Test,Compliant,Certification_test,Photometric_test,Meets Appendix J requirements
SAF-029,25.SC-H2-001,H2 fuel system safety,Special_Condition,Compliant,Comprehensive_analysis,H2_safety_case,Hydrogen-specific certification
SAF-030,25.SC-BWB-001,BWB configuration safety,Special_Condition,Compliant,Analysis_test,BWB_safety_case,Blended wing body specific
