Contact_Type,Primary_Contact,Phone_Primary,Email_Primary,Backup_Contact,Phone_Backup,Email_Backup,Availability,Notes
Operations Control Center,OCC Manager,+34 91 XXX XXXX,occ@ampel360.aero,Deputy OCC Manager,+34 91 XXX XXXY,occ-deputy@ampel360.aero,24/7,Primary coordination for all flight operations
Safety Emergency Line,Head of Safety,+34 91 XXX XXXX,safety-emergency@ampel360.aero,Deputy Safety Manager,+34 91 XXX XXXY,safety-deputy@ampel360.aero,24/7,For immediate safety concerns
H2 Emergency Response,H2 Safety Specialist,+34 91 XXX XXXX,h2-safety@ampel360.aero,H2 Engineer On-Call,+34 91 XXX XXXY,h2-engineer@ampel360.aero,24/7,H2-specific emergencies and incidents
Fuel Cell Emergency,Fuel Cell Engineer,+34 91 XXX XXXX,fuelcell-emergency@ampel360.aero,FC Engineer On-Call,+34 91 XXX XXXY,fuelcell-eng@ampel360.aero,24/7,Fuel cell system emergencies
Flight Operations Manager,VP Flight Operations,+34 91 XXX XXXX,flight-ops-mgr@ampel360.aero,Chief Pilot,+34 91 XXX XXXY,chief-pilot@ampel360.aero,24/7 on-call,Flight operations emergencies
Maintenance Control,Maintenance Control,+34 91 XXX XXXX,maint-control@ampel360.aero,Maintenance Manager,+34 91 XXX XXXY,maint-mgr@ampel360.aero,24/7,Technical issues and MEL compliance
Ground Operations,Ground Ops Manager,+34 91 XXX XXXX,ground-ops@ampel360.aero,Ground Ops Supervisor,+34 91 XXX XXXY,ground-ops-sup@ampel360.aero,Operating hours,Ground handling and refueling
Medical Emergency,Medical Director,+34 91 XXX XXXX,medical@ampel360.aero,Senior Flight Surgeon,+34 91 XXX XXXY,flight-surgeon@ampel360.aero,24/7 on-call,Medical emergencies and crew health
Security Emergency,Security Director,+34 91 XXX XXXX,security@ampel360.aero,Security Manager,+34 91 XXX XXXY,security-mgr@ampel360.aero,24/7,Security threats and incidents
Crisis Management,CEO / Accountable Manager,+34 91 XXX XXXX,ceo@ampel360.aero,COO,+34 91 XXX XXXY,coo@ampel360.aero,24/7 on-call,Major incidents and crises
Public Relations,PR Director,+34 91 XXX XXXX,pr@ampel360.aero,PR Manager,+34 91 XXX XXXY,pr-mgr@ampel360.aero,24/7 on-call,Media inquiries during incidents
Legal Department,Chief Legal Officer,+34 91 XXX XXXX,legal@ampel360.aero,Corporate Counsel,+34 91 XXX XXXY,counsel@ampel360.aero,Business hours,Legal matters arising from incidents
Insurance,Insurance Manager,+34 91 XXX XXXX,insurance@ampel360.aero,Risk Manager,+34 91 XXX XXXY,risk-mgr@ampel360.aero,Business hours,Insurance notifications
EASA Contact,EASA Representative,+49 221 XXX XXXX,post@easa.europa.eu,National CAA Contact,+34 91 XXX XXXX,info@seguridadaerea.es,Business hours,Regulatory notifications
FAA Contact,FAA Representative,+1 202 XXX XXXX,9-awa-aso@faa.gov,FAA On-Call,+1 202 XXX XXXY,faa-oncall@faa.gov,Business hours,US regulatory matters
Aircraft Manufacturer,AMPEL360 Engineering,+34 91 XXX XXXX,eng-support@ampel360mfg.com,Tech Support 24/7,+34 91 XXX XXXY,techsupport@ampel360mfg.com,24/7,Technical support from manufacturer
H2 Supplier Emergency,H2 Supplier Hotline,+49 XXX XXX XXXX,emergency@h2supplier.com,H2 Technical Support,+49 XXX XXX XXXY,techsupport@h2supplier.com,24/7,H2 fuel supplier emergency support
Fuel Cell Supplier,FC Manufacturer Support,+1 XXX XXX XXXX,support@fcmfg.com,FC Emergency,+1 XXX XXX XXXY,emergency@fcmfg.com,24/7,Fuel cell technical support
Employee Assistance,EAP Provider,+34 91 XXX XXXX,eap@provider.com,EAP Counselor,+34 91 XXX XXXY,counselor@provider.com,24/7,Psychological support for crew
