Operating_Hours,Capacity_Retention_%,Efficiency_Retention_%,Estimated_Life_Remaining_%,Maintenance_Action,Notes
0,100,100,100,None,New stack
5000,98,99,90,None,Minimal degradation
10000,96,98,80,Monitor,Normal degradation
15000,94,96,70,Monitor,Acceptable degradation
20000,92,94,60,Plan_Replacement,Approaching replacement
25000,90,92,50,Schedule_Replacement,Replacement recommended
30000,88,90,40,Replace_Soon,Design life reached
35000,85,87,30,Replace,Extended life
40000,82,84,20,Replace_Urgent,Well beyond design life
45000,78,80,10,Replace_Immediately,Safety margin reduced
