Loading_Scenario,Passengers,Cargo_kg,Fuel_kg,ZFW_kg,TOW_kg,CG_%MAC,Status
Full Passenger Full Fuel,220,5000,4200,71700,95900,32.0,Overweight
Full Passenger Reduced Fuel,220,5000,3200,71700,94900,31.5,Normal
Reduced Pax Full Fuel,180,6000,4200,68700,92900,31.8,Normal
Cargo Priority,120,12000,3800,72700,96500,33.2,Overweight
Ferry Flight,0,0,4200,48000,52200,29.0,Ferry
Maximum Payload,220,10000,2500,72000,74500,32.5,Short Range
Long Range,220,3000,4200,66700,90900,31.0,Max Range
Minimum Fuel,220,5000,500,71700,72200,28.5,Landing
Forward CG Limit,100,8000,500,60700,61200,25.0,Test
Aft CG Limit,220,1000,4200,65700,89900,42.0,Test
