Flight_Phase,Time_min,Fuel_Burned_kg,Remaining_Fuel_kg,Weight_kg,CG_%MAC,CG_Shift_Rate_%_per_hr,Status
Taxi,15,4,4196,94996,32.0,0.0,Static
Takeoff,2,9,4187,94987,31.98,-0.6,Normal
Initial_Climb,10,51,4136,94936,31.90,-0.48,Normal
Climb_Continue,15,129,4007,94807,31.76,-0.56,Normal
Cruise_Start,0,0,4007,94807,31.76,0.0,Stable
Cruise_1hr,60,650,3357,94157,31.10,-0.66,Normal
Cruise_2hr,60,650,2707,93507,30.44,-0.66,Normal
Cruise_3hr,60,650,2057,92857,29.78,-0.66,Normal
Cruise_4hr,60,650,1407,92207,29.12,-0.66,Normal
Descent,20,32,1375,92175,29.06,-0.18,Normal
Approach,10,8,1367,92167,29.04,-0.12,Normal
Landing,5,3,1364,92164,29.03,-0.12,Normal
Reserve,45,488,876,91676,28.45,-0.77,If_Used
