Publication,ATA_Chapter,Type,Pages,Start_Date,Complete_Date,Owner,Status,Priority
AFM,02,Regulatory,450,2025-11-01,2026-04-30,Tech_Pubs,Active,Critical
FCOM_Vol1_Systems,02,Operations,300,2025-12-01,2026-02-15,Tech_Pubs,Planning,Critical
FCOM_Vol2_Procedures,02,Operations,250,2026-01-01,2026-03-31,Tech_Pubs,Planning,Critical
FCOM_Vol3_Performance,02,Operations,150,2026-02-01,2026-04-30,Tech_Pubs,Planning,Critical
FCOM_Vol4_NonNormal,02,Operations,100,2026-03-01,2026-05-15,Tech_Pubs,Planning,Critical
QRH,02,Safety,120,2026-01-15,2026-05-15,Safety,Planning,Critical
WBM,02,Performance,200,2025-11-15,2026-03-15,Performance,Active,Critical
MEL,02,Maintenance,180,2026-02-01,2026-07-01,Maintenance,Planning,Critical
AMM_H2_System,28,Maintenance,400,2026-01-01,2026-05-31,Maintenance,Planning,High
AMM_Fuel_Cells,71,Maintenance,350,2026-01-15,2026-06-15,Maintenance,Planning,High
AMM_Flight_Controls,27,Maintenance,300,2026-02-01,2026-06-30,Maintenance,Planning,High
IPC_H2_System,28,Parts,250,2026-03-01,2026-07-31,Supply_Chain,Planning,Medium
IPC_Fuel_Cells,71,Parts,200,2026-03-15,2026-07-31,Supply_Chain,Planning,Medium
SRM_Structures,51-57,Repair,500,2026-02-01,2026-08-31,Engineering,Planning,Medium
CMM_CAOS,45,Component,180,2026-04-01,2026-08-31,CAOS_Team,Planning,Medium
TSM_Training,00,Training,150,2026-01-01,2026-05-31,Training,Planning,High
