Module,Duration_Hours,Type,Target_Date,Status,Dependencies,Resources_Required
Intro_BWB_Aircraft,2,CBT,2026-01-15,Planning,AFM_Draft,CBT_Developer
H2_Fuel_System_Overview,3,CBT,2026-01-31,Planning,H2_System_Spec,CBT_Developer_SME
Fuel_Cell_Propulsion,2.5,CBT,2026-01-31,Planning,Engineering_Data,CBT_Developer
Flight_Controls_BWB,2,CBT,2026-02-15,Planning,Flight_Test_Data,CBT_Developer
CAOS_Introduction,3,CBT,2026-02-28,Planning,CAOS_V1,CAOS_Team_CBT_Dev
Electrical_Systems,2,CBT,2026-02-28,Planning,System_Design,CBT_Developer
Environmental_Control,1.5,CBT,2026-03-15,Planning,System_Design,CBT_Developer
CO2_Capture_System,1.5,CBT,2026-03-15,Planning,Engineering_Data,CBT_Developer
Performance_Calculations,2.5,CBT,2026-03-31,Planning,AFM_Performance,CBT_Developer
Weight_Balance_BWB,2,CBT,2026-03-31,Planning,WBM_Complete,CBT_Developer
Emergency_Procedures,3,CBT,2026-04-15,Planning,QRH_Draft,CBT_Developer_Safety
Normal_Procedures,3,CBT,2026-04-15,Planning,FCOM_Draft,CBT_Developer
H2_Refueling_Ops,1.5,CBT,2026-04-30,Planning,Ground_Ops_Proc,CBT_Developer
CAOS_Advanced_Features,2,CBT,2026-05-15,Planning,CAOS_Training_Doc,CAOS_Team_CBT_Dev
Crew_Resource_Management,2,CBT,2026-05-15,Planning,CRM_Content,Training_Developer
Pre_Flight_Procedures,1.5,Interactive,2026-03-31,Planning,FCOM_Section,CBT_Developer
System_Failures,2.5,Interactive,2026-04-30,Planning,MEL_QRH,CBT_Developer
Flight_Planning_H2,2,Interactive,2026-04-30,Planning,Flight_Ops,CBT_Developer
CAOS_Decision_Support,2,Interactive,2026-05-15,Planning,CAOS_Scenarios,CAOS_Team
Final_Assessment,1,Test,2026-05-31,Planning,All_Modules,Training_Team
