Meeting_ID,Action_Item,Responsible,Due_Date,Status,Notes
001,Submit_special_conditions_proposals,Cert_Team,2026-02-15,Complete,All three proposals submitted
001,Establish_working_groups,Both,2026-02-01,Complete,BWB H2 and AI groups active
001,Develop_H2_safety_case,Safety_Team,2026-03-30,Active,Draft complete under review
001,CAOS_AI_safety_assessment,CAOS_Team,2026-04-15,Active,Preliminary results available
001,Test_plan_submission,Test_Team,2026-03-01,Complete,Ground and flight test plans submitted
002,Submit_issue_papers_draft,Cert_Team,2026-06-01,Planning,FAA validation approach
002,Coordinate_test_witnessing,Test_Team,2026-Q2,Planning,Joint EASA-FAA witnessing
002,Establish_FAA_working_group,FAA_Cert_Team,2026-04-01,Active,Coordination meetings scheduled
003,Revise_SC-H2-006_with_tests,Safety_Team,2026-03-20,Active,Ventilation testing requirements
003,Document_EN_17127_adaptations,H2_Team,2026-03-25,Active,Aviation-specific procedures
003,Update_safety_case_comparison,Safety_Team,2026-03-30,Active,Jet fuel comparison analysis
003,Address_H2_open_issues,H2_Team,2026-04-15,Planning,Long-term storage boiloff management
