ATA_Chapter,System_Name,Description,Status,Critical_for_Flight
21,Air Conditioning and Pressurization,Cabin pressurization and climate control,Active,Yes
22,Autoflight,Autopilot and flight director systems,Active,Yes
23,Communications,Voice and data communication systems,Active,Yes
24,Electrical Power,Fuel cell power generation and distribution,Active,Yes
26,Fire Protection,Fire detection and suppression,Active,Yes
27,Flight Controls,Fly-by-wire primary flight controls,Active,Yes
28,Fuel System,Cryogenic H₂ storage and distribution,Active,Yes
29,Hydraulic Power,Electric-hydraulic hybrid system,Active,Yes
30,Ice and Rain Protection,Anti-ice and de-ice systems,Active,Yes
31,Indicating/Recording Systems,Flight instruments and displays,Active,Yes
32,Landing Gear,Retractable landing gear system,Active,Yes
33,Lights,Interior and exterior lighting,Active,No
34,Navigation,GPS/IRS navigation systems,Active,Yes
35,Oxygen,Emergency oxygen system,Active,Yes
38,Water/Waste,Potable water and waste systems,Active,No
42,Integrated Modular Avionics,Core avionics computing platform,Active,Yes
44,Cabin Systems,Passenger entertainment and service,Active,No
45,Onboard Maintenance Systems,Central maintenance computer,Active,No
46,Information Systems,Passenger information displays,Active,No
71,Power Plant,PEM fuel cell stacks (4×2.5MW),Active,Yes
95,CAOS AI Operations,Predictive maintenance and optimization,Active,No
21-80,CO₂ Capture System,Atmospheric carbon capture system,Active,No
