Weight_Limitation,Value,Unit,Source,Criticality
MTOW,185000,kg,Design Specification,Critical
MLW,155000,kg,Landing Gear Analysis,Critical
MZFW,145000,kg,Structural Analysis,Critical
Max_Fuel_Weight,40000,kg,H2 Tank Capacity,Critical
Operating_Empty_Weight,105000,kg,Weight Statement,High
Max_Payload,40000,kg,Cabin Configuration,High
CG_Forward_Limit,15,%MAC,Stability Analysis,Critical
CG_Aft_Limit,42,%MAC,Stability Analysis,Critical
Max_Taxi_Weight,187000,kg,Ground Operations,Medium
Max_Ramp_Weight,186000,kg,Ground Operations,Medium
