CG_Condition,CG_MAC_Percent,CG_Station_m,Weight_kg,Flight_Phase,Notes
Forward_Limit_MTOW,15.0,19.73,185000,Takeoff,Most forward allowable CG
Aft_Limit_MTOW,42.0,22.94,185000,Takeoff,Most aft allowable CG
Forward_Limit_MLW,17.0,19.89,155000,Landing,Landing configuration forward limit
Aft_Limit_MLW,40.0,22.78,155000,Landing,Landing configuration aft limit
Forward_Limit_MZFW,18.0,19.97,145000,Ground,Zero fuel forward limit
Aft_Limit_MZFW,39.0,22.70,145000,Ground,Zero fuel aft limit
Typical_Cruise,28.5,21.34,170000,Cruise,Nominal cruise CG position
Empty_Weight_CG,25.0,20.55,105000,Ground,Operating empty weight CG
Max_Fuel_CG_Fwd,20.0,20.14,145000,Ground,Full fuel forward tanks only
Max_Fuel_CG_Aft,35.0,22.37,145000,Ground,Full fuel aft tanks only
