FAA_Reference,Title,Applicability,Compliance_Method,Status,EASA_Equivalent,Harmonization,Notes
25.25,Weight Limits,Applicable,Analysis + Test,In Progress,CS-25.25,Harmonized,MTOW/MLW/MZFW same as CS-25
25.27,Center of Gravity Limits,Applicable,Analysis + Flight Test,In Progress,CS-25.27,Harmonized,15-42% MAC with Special Condition
25.101-143,Takeoff,Applicable,Flight Test,Planned,CS-25.101-143,Harmonized,Field length and performance
25.145-177,Control and Stability,Applicable,Flight Test,Planned,CS-25.145-177,Harmonized,BWB handling characteristics
25.201-253,Stall and High Speed,Applicable,Flight Test,Planned,CS-25.201-253,Harmonized,VS and VMO/MMO
25.301-365,Structural Loads,Applicable,Analysis + Test,In Progress,CS-25.301-365,Harmonized,Load factors and pressurization
25.471-521,Ground Loads,Applicable,Analysis + Test,In Progress,CS-25.471-521,Harmonized,Landing gear loads
25.561-571,Emergency Landing,Applicable,Analysis + Test,Planned,CS-25.561-571,Harmonized,Crash worthiness
25.571-631,Materials and Structure,Applicable,Analysis + Test,In Progress,CS-25.571-631,Harmonized,Composite BWB structure
25.671-703,Control Systems,Applicable,Design + Test,In Progress,CS-25.671-703,Harmonized,Fly-by-wire elevons
25.721-745,Landing Gear,Applicable,Design + Test,In Progress,CS-25.721-745,Harmonized,Retractable gear
25.771-787,Cabin,Applicable,Design + Test,Planned,CS-25.771-787,Harmonized,Wide BWB cabin
25.791-815,Emergency,Applicable,Design + Test,Planned,CS-25.791-815,Harmonized,8 Type-I exits
25.831-865,Fire Protection,Applicable,Design + Test,Planned,CS-25.831-865,Harmonized,H2 fire protection
25.901-943,Powerplant Installation,Applicable,Design + Test,In Progress,CS-25.901-943,Harmonized,Fuel cell propulsion
25.951-1001,Fuel System,Applicable,Design + Test,In Progress,CS-25.951-1001,Harmonized,Cryogenic H2 system
25.1011-1093,Powerplant Controls,Applicable,Design + Test,In Progress,CS-25.1011-1093,Harmonized,Fuel cell controls
25.1101-1207,Fire Protection Systems,Applicable,Design + Test,Planned,CS-25.1101-1207,Harmonized,H2 leak detection
25.1301-1365,Equipment and Systems,Applicable,Design + Test,In Progress,CS-25.1301-1365,Harmonized,Avionics and CAOS
25.1381-1401,Lights,Applicable,Design,Planned,CS-25.1381-1401,Harmonized,Navigation and landing lights
25.1411-1461,Safety Equipment,Applicable,Design,Planned,CS-25.1411-1461,Harmonized,Emergency equipment
25.1501-1589,Operating Limitations,Applicable,Documentation,In Progress,CS-25.1501-1589,Harmonized,AFM development
Appendix F,Icing Certification,Applicable,Analysis + Test,Planned,CS-25 Appendix F,Harmonized,Natural icing
Appendix J,ELT,Applicable,Equipment,Planned,CS-25 Appendix J,Harmonized,406 MHz ELT
Appendix K,EWIS,Applicable,Design,In Progress,CS-25 Appendix K,Harmonized,Electrical wiring
Special Condition,BWB Geometry,Required,EASA Lead,Proposed,SC-BWB-001,FAA Validation,Follow EASA
Special Condition,Wide CG Range,Required,EASA Lead,Proposed,SC-BWB-002,FAA Validation,15-42% MAC
Special Condition,H2 Propulsion,Required,EASA Lead,Proposed,SC-H2-001,FAA Validation,Cryogenic fuel system
Special Condition,CO2 Capture,Optional,EASA Lead,Proposed,SC-CO2-001,FAA Validation,Carbon negative option
