Requirement_ID,Requirement_Description,Data_Document_ID,Data_Section,Verification_Status,Notes
REQ-02-10-001,Aircraft shall have BWB configuration,02-10-01-OVW,Section 2.1,Verified,Design description complete
REQ-02-10-002,Maximum wingspan shall not exceed ICAO Code Letter limits,02-10-01-OVW,Section 3.2,Verified,52m wingspan complies with Code C
REQ-02-10-003,Aircraft shall accommodate 220 passengers typical,02-10-01-OVW,Section 4.1,Verified,Capacity design complete
REQ-02-10-004,Hydrogen fuel system shall be primary propulsion,02-10-01-OVW,Section 5.0,Verified,H2 fuel cell system described
REQ-02-10-005,Aircraft shall have carbon-negative operation,02-10-01-OVW,Section 5.2,Verified,CO2 capture system integrated
REQ-02-10-006,Range shall be minimum 4000 km with max payload,02-10-03-REQ,Section 3.1,Under Review,Performance validation in progress
REQ-02-10-007,Safety systems shall meet CS-25 requirements,02-10-02-SAF,All Sections,Verified,Safety overview complete
REQ-02-10-008,Emergency exits shall comply with CS-25.807,02-10-02-SAF,Section 4.2,Verified,Exit configuration documented
REQ-02-10-009,Operational procedures shall be documented,02-10-03-REQ,Section 5.0,In Progress,Procedures under development
REQ-02-10-010,Aircraft dimensions shall support worldwide operations,02-10-01-OVW,Section 3.0,Verified,Dimension optimization complete
