Parameter,Value,Unit,Tolerance,Reference,Category
Wingspan,52.0,m,±0.1,Wingtip to wingtip,Overall
Overall_Length,38.2,m,±0.1,Nose to tail,Overall
Overall_Height,14.5,m,±0.05,Ground to top,Overall
Wing_Area,845,m²,±5,Total planform,Aerodynamic
Aspect_Ratio,3.2,—,—,b²/S,Aerodynamic
Wetted_Area,1850,m²,±50,External surface,Aerodynamic
Center_Body_Width,38.0,m,±0.1,STA 15.0,Center Body
Center_Body_Length,28.5,m,±0.1,STA 10-35,Center Body
Root_Chord,35.0,m,±0.2,BL 0,Wing
Tip_Chord,3.5,m,±0.05,BL ±26,Wing
Leading_Edge_Sweep,37,deg,±0.5,Average,Wing
Quarter_Chord_Sweep,32,deg,±0.5,25% chord,Wing
Dihedral,3,deg,±0.3,Average,Wing
Twist_Washout,-3,deg,±0.5,Tip relative to root,Wing
MAC,22.5,m,—,Calculated,Aerodynamic
MAC_LE_Station,STA 8.0,—,—,Leading edge,Aerodynamic
MAC_Buttline,BL ±8.5,—,—,Spanwise location,Aerodynamic
Cabin_Floor_Height,4.0,m,±0.02,WL 4.0,Interior
Cabin_Height,2.4,m,±0.01,Floor to ceiling,Interior
Cabin_Width_Max,36.0,m,±0.1,STA 15.0,Interior
Cargo_Volume,150,m³,±5,Lower deck,Interior
Pressurized_Volume,1850,m³,±50,Total,Interior
H2_Tank_Volume,350,m³,±10,Both tanks,Systems
Wheelbase,15.5,m,±0.1,NLG to MLG,Landing Gear
Track,30.0,m,±0.1,MLG spacing,Landing Gear
Ground_Clearance_Min,1.8,m,±0.05,Belly,Clearance
Nose_Clearance,2.1,m,±0.05,At rotation,Clearance
Tail_Clearance,2.5,m,±0.05,Aft body,Clearance
Wingtip_Clearance,1.2,m,±0.05,At MTOW,Clearance
Door_Sill_Height,4.3,m,±0.02,Passenger doors,Access
Turning_Radius,42.0,m,±0.5,Centerline,Ground Ops
ICAO_Code,E,—,—,52m < 65m,Classification
