Standard,Title,Application,Compliance,Status,Domain_Owner,Last_Reviewed,Impacts_Which_Docs,Notes
CS-25.301,Loads,Definition of limit and ultimate loads,Full,Active,STRUCTURAL,2025-11-10,FEM_Global_Model.md; All STRUCTURAL reports,Applied to all structural analyses
CS-25.305,Strength and Deformation,Strength and deformation criteria,Full,Active,STRUCTURAL,2025-11-10,FEM_Global_Model.md; Wing_Box_Stress_Analysis.md,Wing and fuselage structural substantiation
CS-25.331,Symmetric Maneuvering,Maneuver envelope load cases,Full,Active,STRUCTURAL,2025-11-10,FEM_Global_Model.md; Load_Case_Definition_and_Combinations.md,Flight envelope definition
CS-25.333,Flight Maneuvering Envelope,Maneuvering load factors,Full,Active,STRUCTURAL,2025-11-10,Load_Case_Definition_and_Combinations.md,Design dive speed and load factors
CS-25.335,Design Airspeeds,Design airspeeds and speeds for structural design,Full,Active,STRUCTURAL,2025-11-10,FEM_Global_Model.md; CFD_Cruise_Analysis.md,VD VC VA VS definition
CS-25.337,Limit Maneuvering Load Factors,Limit load factors for design conditions,Full,Active,STRUCTURAL,2025-11-10,FEM_Global_Model.md; CS25_Load_Case_List.csv,Applied in FEM global model
CS-25.341,Gust and Turbulence Loads,Gust load criteria,Full,Active,STRUCTURAL,2025-11-10,FEM_Global_Model.md; Load_Case_Definition_and_Combinations.md,Dynamic gust analysis pending
CS-25.345,High Lift Devices,High-lift loads and configurations,Full,Active,AERODYNAMIC,2025-11-10,High_Lift_System_Analysis.md; High_Lift_Device_Options_Trade.md,Slat and flap load cases
CS-25.349,Rolling Conditions,Aileron and spoiler rolling moments,Full,Active,AERODYNAMIC,2025-11-10,CFD_Cruise_Analysis.md; Load_Case_Definition_and_Combinations.md,Lateral control surface loads
CS-25.351,Yaw Maneuver Conditions,Rudder and vertical tail loads,Full,Active,AERODYNAMIC,2025-11-10,CFD_Cruise_Analysis.md; Flutter_Analysis.md,Directional control loads
CS-25.365,Pressurization Loads,Differential pressure loads on fuselage,Full,Active,STRUCTURAL,2025-11-10,Pressure_Vessel_Analysis.md; Pressure_Vessel_Hand_Calcs.csv,Cabin pressurization 8.0 psi
