Phase,Parameter,Value,Unit,Notes
Take-Off,MTOW,220000,kg,Maximum take-off weight
Take-Off,Wing_Area_S,845,m²,Reference wing area
Take-Off,CLmax_TO,1.80,-,Flaps 20° take-off configuration
Take-Off,Air_Density_rho,1.225,kg/m³,Sea level ISA
Take-Off,VS_Stall_Speed,107.2,KIAS,Stall speed √(2W/(ρSCLmax))
Take-Off,VR_Rotation_Speed,112.6,KIAS,1.05 × VS
Take-Off,VLOF_Liftoff_Speed,118.0,KIAS,1.10 × VS
Take-Off,V2_Safety_Speed,121.1,KIAS,1.13 × VS per CS-25.107
Take-Off,V1_Decision_Speed,105.0,KIAS,Go/no-go decision speed
Take-Off,Ground_Roll_Distance,1850,m,Brake release to VR
Take-Off,Rotation_Distance,285,m,VR to VLOF
Take-Off,Airborne_Distance,520,m,VLOF to 35 ft screen height
Take-Off,Total_TO_Distance,2655,m,Total take-off distance (< 3000 m target)
Take-Off,Accelerate_Stop_Distance,2890,m,Accelerate to V1 then stop
Take-Off,Climb_Gradient_Second_Segment,2.6,%,OEI climb gradient (> 2.4% required)
Landing,MLW,190000,kg,Maximum landing weight
Landing,CLmax_LDG,2.40,-,Flaps 30° landing configuration
Landing,VS_Stall_Speed,86.5,KIAS,Stall speed at landing
Landing,VREF_Reference_Speed,106.4,KIAS,1.23 × VS per CS-25.125
Landing,Vapp_Approach_Speed,111.4,KIAS,VREF + 5 kt wind correction
Landing,Vtd_Touchdown_Speed,108.0,KIAS,Typical touchdown speed
Landing,Air_Distance_50ft,450,m,From 50 ft screen to touchdown
Landing,Flare_Distance,120,m,Flare maneuver distance
Landing,Free_Roll_Distance,185,m,3 seconds after touchdown no braking
Landing,Braking_Distance,1020,m,Wheel brakes + spoilers
Landing,Total_LDG_Distance,1775,m,Total landing distance (< 2500 m target)
Landing,Wet_Runway_Factor,1.15,-,Wet runway multiplier
Landing,Wet_Runway_Distance,2041,m,Landing distance on wet runway
Landing,Go_Around_Climb_Gradient,3.5,%,All engines landing config (> 3.2% required)
