Clearance_ID,Location,Station,Buttline,Waterline,Design_Clearance_m,Min_Required_m,Test_Method,Test_Date,Measured_Clearance_m,Condition,Result,Inspector,Notes
CLR-201,Nose_Lowest_Point,STA 3,BL 0,WL 2.1,2.1,1.5,Physical_Measurement,TBD,TBD,Rotation,PENDING,TBD,At maximum rotation angle (12°)
CLR-202,Belly_Minimum,STA 18,BL 0,WL 1.8,1.8,1.5,Laser_Tracker,TBD,TBD,Level_MTOW,PENDING,TBD,Aircraft level on gear at MTOW
CLR-203,Tail_Aft_Body,STA 36,BL 0,WL 2.5,2.5,2.0,Laser_Tracker,TBD,TBD,Level,PENDING,TBD,Aft body lowest point
CLR-204,Engine_Intake_Left,STA 25,BL -12,WL 2.8,2.8,2.5,Tape_Measure,TBD,TBD,Ground_Ops,PENDING,TBD,Left engine intake lowest point
CLR-205,Engine_Intake_Right,STA 25,BL +12,WL 2.8,2.8,2.5,Tape_Measure,TBD,TBD,Ground_Ops,PENDING,TBD,Right engine intake lowest point
CLR-206,Wingtip_Left,STA 20,BL -26,WL 1.2,1.2,0.8,Deflection_Test,TBD,TBD,MTOW_Fueled,PENDING,TBD,Wingtip at maximum fuel load
CLR-207,Wingtip_Right,STA 20,BL +26,WL 1.2,1.2,0.8,Deflection_Test,TBD,TBD,MTOW_Fueled,PENDING,TBD,Wingtip at maximum fuel load
CLR-208,Nose_12deg_Rotation,STA 3,BL 0,WL 2.0,0.5,0.3,Geometric_Analysis,TBD,TBD,Max_Rotation,PENDING,TBD,Nose clearance at 12° rotation limit
CLR-209,Tail_12deg_Rotation,STA 36,BL 0,WL 2.3,0.3,0.2,Geometric_Analysis,TBD,TBD,Tail_Strike_Limit,PENDING,TBD,Tail strike warning threshold
CLR-210,Door_Sill_to_Ground,STA 12,BL -6,WL 4.3,4.3,4.0,Tape_Measure,TBD,TBD,Boarding,PENDING,TBD,Passenger door accessibility
CLR-211,Cargo_Door_Ground,STA 32,BL 0,WL 2.2,2.2,2.0,Tape_Measure,TBD,TBD,Loading,PENDING,TBD,Cargo door handling clearance
CLR-212,H2_Connection_Point,STA 20,BL -5,WL 2.5,2.5,2.0,Physical_Check,TBD,TBD,Refueling,PENDING,TBD,H₂ refueling connection access
CLR-213,Overhead_Hangar,STA 15,BL 0,WL 14.5,2.0,1.5,Facility_Check,TBD,TBD,Hangar,PENDING,TBD,Hangar door clearance requirement
CLR-214,Lateral_Left_Wingtip,Various,BL -26,Various,4.0,3.5,Geometric_Analysis,TBD,TBD,Taxiing,PENDING,TBD,Wingtip lateral clearance for taxiways
CLR-215,Lateral_Right_Wingtip,Various,BL +26,Various,4.0,3.5,Geometric_Analysis,TBD,TBD,Taxiing,PENDING,TBD,Wingtip lateral clearance for taxiways
CLR-216,Tail_Strike_Angle,STA 36,BL 0,—,14,12,Attitude_Test,TBD,TBD,Takeoff_Landing,PENDING,TBD,Maximum rotation angle before strike
CLR-217,Wingtip_Droop_Max_Fuel,STA 20,BL ±26,—,0.15,—,Deflection_Test,TBD,TBD,MTOW,PENDING,TBD,Maximum wingtip deflection with fuel
CLR-218,Ground_Clearance_Unload,STA 18,BL 0,WL 2.4,2.4,2.0,Measurement,TBD,TBD,Empty_Weight,PENDING,TBD,Ground clearance at empty weight
CLR-219,Ground_Clearance_MTOW,STA 18,BL 0,WL 1.8,1.8,1.5,Measurement,TBD,TBD,MTOW,PENDING,TBD,Ground clearance at MTOW (critical)
CLR-220,Propulsor_Ground_Clear,STA 22,BL ±10,WL 3.5,3.5,3.0,Measurement,TBD,TBD,Level,PENDING,TBD,Propulsor/engine ground clearance
