Load_Factor_Type,Positive_Limit_g,Negative_Limit_g,Configuration,Speed_Condition,Notes
Design_Maneuver,2.5,-1.0,Clean,Vmo,Certified limit load
Design_Gust,2.0,-1.0,Clean,Vc,66 fps gust intensity
Flaps_Extended,2.0,0.0,Flaps,Vfe,Reduced limit with flaps
Gear_Extended,2.0,0.0,Gear_Down,Vle,Landing gear down limit
Landing_Impact,3.0,N/A,Landing,Touchdown,Vertical load factor
Ground_Taxi,1.5,N/A,Ground,Taxi,Maximum taxi load
Emergency_Maneuver,2.5,-1.0,Any,Below_Va,Maneuvering speed protection
Turbulence_Severe,2.0,-1.0,Clean,Cruise,Severe turbulence limit
Icing_Conditions,1.8,-0.5,Ice,Reduced,With ice accretion
Maximum_Bank,2.5,N/A,Clean,67_deg,Maximum bank angle load
