Flight_Phase,Duration_min,Avg_Power_kW,Energy_MWh,H2_Mass_kg,Efficiency_Percent,Specific_Fuel_Consumption,Notes
Taxi_Out,15,200,0.050,10,40,0.20 kg/kWh,Ground operations - low efficiency
Takeoff,3,8000,0.400,25,50,0.0625 kg/kWh,Maximum power - fuel cell boost
Climb_Initial,10,5000,0.833,120,55,0.144 kg/kWh,High power climb phase
Climb_Cruise,25,4000,1.667,240,57,0.144 kg/kWh,Optimized climb rate
Cruise,800,2500,33.333,1200,62,0.036 kg/kWh,Optimal cruise efficiency point
Descent,30,1500,0.750,180,55,0.24 kg/kWh,Partial power descent
Approach_Landing,8,3000,0.400,45,50,0.1125 kg/kWh,Final approach power management
Taxi_In,10,200,0.033,8,40,0.24 kg/kWh,Ground operations to parking
Total_Nominal_Mission,901,2915,37.466,1828,59.2,0.049 kg/kWh,Average mission performance
Reserve_Segment,45,2200,1.650,200,58,0.121 kg/kWh,Reserve fuel burn at holding
Mission_with_Reserve,946,2856,39.116,2028,58.9,0.052 kg/kWh,Total with reserves
Fuel_Cell_Performance,Rated_Power,2500,kW continuous,,,62,Peak efficiency at cruise power
Fuel_Cell_Performance,Peak_Power,8000,kW short duration,,,50,Takeoff boost power
Fuel_Cell_Performance,Degradation_Margin,10,% over 5000 hours,,,,,Fuel cell aging allowance
H2_System_Efficiency,H2_LHV,120,MJ/kg,33.3,kWh/kg,100,Lower heating value reference
H2_System_Efficiency,Fuel_Cell_Conversion,,,,,62,Electrical efficiency
H2_System_Efficiency,Motor_Efficiency,,,,,95,Electric motor efficiency
H2_System_Efficiency,Propeller_Efficiency,,,,,85,Propulsor efficiency
H2_System_Efficiency,Overall_Propulsive,,,,,50.2,End-to-end system efficiency
Comparison_Turbofan,Jet_A_LHV,43,MJ/kg,11.9,kWh/kg,100,Kerosene reference
Comparison_Turbofan,Engine_Efficiency,,,,,35,Typical turbofan thermal efficiency
Comparison_Turbofan,Propeller_Efficiency,,,,,85,High bypass fan efficiency
Comparison_Turbofan,Overall_Efficiency,,,,,29.75,Conventional propulsion baseline
Advantage_Analysis,Energy_Density_Ratio,2.8,times better,H2 vs Jet-A,,,Gravimetric advantage
Advantage_Analysis,System_Efficiency_Gain,68.7,% better,H2 system vs turbofan,,,AMPEL360 efficiency advantage
Operating_Conditions,Cruise_Altitude,11000,m FL360,,,,Optimal for fuel cell performance
Operating_Conditions,Cruise_Speed,450,kts TAS,,,,Mach 0.78 at altitude
Operating_Conditions,Ambient_Temperature,-56,°C standard ISA,,,,High altitude cold improves H2 density
Operating_Conditions,Fuel_Cell_Operating_Temp,80,°C PEM operating point,,,,Optimal PEM fuel cell temperature
Fuel_Consumption_Rate,Cruise_Specific_Range,5.42,km/kg H2,,,,Design efficiency metric
Fuel_Consumption_Rate,Fuel_Flow_Rate,360,kg/h cruise,,,,Steady state cruise consumption
Fuel_Consumption_Rate,Time_to_Empty,16.67,hours max endurance with 6000 kg,,,Design limit - not operational
Mission_Fuel_Budget,Nominal_Mission,1828,kg for 6500 km,,,,Primary mission requirement
Mission_Fuel_Budget,Reserve_45min,200,kg holding,,,,Regulatory reserve
Mission_Fuel_Budget,Diversion_300km,250,kg alternate,,,,Alternate airport fuel
Mission_Fuel_Budget,Contingency_5pct,114,kg margin,,,,Additional safety margin
Mission_Fuel_Budget,Total_Required,2392,kg minimum,,,,Design fuel load
Mission_Fuel_Budget,Tankage_Capacity,8000,kg available,,,,3.3x mission requirement
