Component,Category,Weight_kg,Percentage_MTOW,Notes
Structure,Primary,28500,15.3,BWB composite airframe with integrated wing-body
Wing Structure,Primary,8500,4.6,Blended wing structure - distributed load bearing
Fuselage Structure,Primary,12000,6.5,Wide-body BWB center section
Tail Surfaces,Primary,2500,1.3,Twin vertical stabilizers
Landing Gear,Primary,5500,3.0,Main and nose gear assemblies
Propulsion,Primary,12000,6.5,Fuel cell stacks and electric motors
H2 Storage System,Primary,8000,4.3,Cryogenic tank system with insulation
Fuel Cell Stacks,Primary,3500,1.9,PEM fuel cells - 2.5 MW total
Electric Motors,Primary,500,0.3,Distributed electric propulsion
Systems,Secondary,22500,12.1,All aircraft systems
Avionics,Secondary,2500,1.3,Flight control and navigation systems
Environmental Control,Secondary,3500,1.9,HVAC and pressurization
Hydraulics,Secondary,2000,1.1,Flight control actuation
Electrical,Secondary,4500,2.4,Power distribution and battery systems
CO2 Capture System,Secondary,3000,1.6,Solid-state CO2 capture and storage
Flight Controls,Secondary,3500,1.9,Fly-by-wire system
Other Systems,Secondary,3500,1.9,Oxygen water waste and miscellaneous
Furnishings,Secondary,12000,6.5,Cabin interior and equipment
Seats,Secondary,5000,2.7,220 passenger seats
Galleys and Lavatories,Secondary,3000,1.6,Food service and sanitation
Cargo Systems,Secondary,2000,1.1,Cargo handling equipment
Interior Panels,Secondary,2000,1.1,Wall ceiling and floor panels
Operating Empty Weight (OEW),Total,95000,51.1,Total empty aircraft weight
Max Payload,Variable,45000,24.2,220 passengers + cargo (200 kg/pax average)
Max Fuel,Variable,8000,4.3,Liquid hydrogen fuel capacity
Max Zero Fuel Weight (MZFW),Total,140000,75.3,OEW + Max Payload
Max Takeoff Weight (MTOW),Total,186000,100.0,Design maximum takeoff weight
Max Landing Weight (MLW),Total,155000,83.3,Maximum certified landing weight
Center of Gravity Range,Reference,15.0-42.0,% MAC,Forward and aft CG limits
Weight Margin,Reserve,5000,2.7,Design growth contingency
