Load_Condition,Component,Weight_kg,Arm_m,Moment_kg_m,CG_Position_m,CG_Percent_MAC,Within_Limits,Critical_Note
OEW,Structure Forward,15000,12.5,187500,,,Yes,
OEW,Structure Center,18500,18.0,333000,,,Yes,
OEW,Structure Aft,12000,22.5,270000,,,Yes,
OEW,Propulsion,12000,16.0,192000,,,Yes,Fuel cells and motors
OEW,Systems Forward,8000,10.0,80000,,,Yes,
OEW,Systems Center,10000,18.0,180000,,,Yes,
OEW,Systems Aft,4500,24.0,108000,,,Yes,
OEW,Furnishings,15000,17.5,262500,,,Yes,Distributed cabin equipment
OEW,Total OEW,95000,,1613000,16.98,22.5,Yes,Within envelope
MZFW_Forward,OEW,95000,16.98,1613000,,,Yes,
MZFW_Forward,Passengers Forward,30000,12.0,360000,,,Yes,Rows 1-15
MZFW_Forward,Passengers Aft,15000,22.0,330000,,,Yes,Rows 16-25
MZFW_Forward,Cargo Forward,0,8.0,0,,,Yes,Empty forward cargo
MZFW_Forward,Cargo Aft,0,25.0,0,,,Yes,Empty aft cargo
MZFW_Forward,Total MZFW,140000,,2303000,16.45,19.8,Yes,Forward loading case
MZFW_Aft,OEW,95000,16.98,1613000,,,Yes,
MZFW_Aft,Passengers Forward,10000,12.0,120000,,,Yes,Rows 1-5
MZFW_Aft,Passengers Aft,35000,22.0,770000,,,Yes,Rows 6-25 (full aft)
MZFW_Aft,Cargo Forward,0,8.0,0,,,Yes,Empty forward cargo
MZFW_Aft,Cargo Aft,0,25.0,0,,,Yes,Empty aft cargo
MZFW_Aft,Total MZFW,140000,,2503000,17.88,28.5,Yes,Aft loading case
MTOW_Balanced,MZFW,140000,17.5,2450000,,,Yes,Typical balanced loading
MTOW_Balanced,H2 Fuel Tank 1,2000,15.0,30000,,,Yes,Forward tank
MTOW_Balanced,H2 Fuel Tank 2,4000,18.0,72000,,,Yes,Center tank
MTOW_Balanced,H2 Fuel Tank 3,2000,21.0,42000,,,Yes,Aft tank
MTOW_Balanced,Total MTOW,148000,,2594000,17.53,27.0,Yes,Balanced fuel distribution
MTOW_Critical_Fwd,MZFW Forward,140000,16.45,2303000,,,Yes,
MTOW_Critical_Fwd,H2 Fuel All Forward,8000,15.5,124000,,,Yes,Maximum forward fuel bias
MTOW_Critical_Fwd,Total MTOW,148000,,2427000,16.40,19.2,Yes,Most forward CG case
MTOW_Critical_Aft,MZFW Aft,140000,17.88,2503000,,,Yes,
MTOW_Critical_Aft,H2 Fuel All Aft,8000,20.5,164000,,,Yes,Maximum aft fuel bias
MTOW_Critical_Aft,Total MTOW,148000,,2667000,18.02,32.5,Yes,Most aft CG case - CRITICAL
Landing,MLW Base,140000,17.0,2380000,,,Yes,
Landing,Residual Fuel,2000,18.0,36000,,,Yes,Fuel reserves
Landing,Total MLW,142000,,2416000,17.01,22.8,Yes,Typical landing weight
ZFW_Max_Cargo,OEW,95000,16.98,1613000,,,Yes,
ZFW_Max_Cargo,Passengers,40000,17.0,680000,,,Yes,180 passengers
ZFW_Max_Cargo,Forward Cargo,8000,8.0,64000,,,Yes,Maximum forward cargo
ZFW_Max_Cargo,Aft Cargo,7000,25.0,175000,,,Yes,Maximum aft cargo
ZFW_Max_Cargo,Total ZFW,150000,,2532000,16.88,23.2,Yes,Maximum cargo scenario
Design_Limits,Forward CG Limit,,,,,15.0,Limit,CS-25 stability requirement
Design_Limits,Aft CG Limit,,,,,42.0,Limit,CS-25 controllability requirement
Design_Limits,MAC Reference Length,,,8.5,m,,Reference,Mean Aerodynamic Chord
Design_Limits,MAC Leading Edge,,,13.0,m,,Reference,Datum location
Notes,,,,,,,,Most critical: Full aft seating + forward cargo results in aft CG at 32.5% MAC - within limits but requires careful loading
