Dimension,Value,Unit,Tolerance,Measurement_Point,Notes
Wingspan,52.0,m,±0.1,Wingtip to wingtip,ICAO Code E
Overall_Length,38.2,m,±0.1,Nose to tail,BWB chord
Overall_Height,14.5,m,±0.05,Ground to highest point,Landing gear extended
Wing_Area,845,m²,±5,Total planform,Reference area
Aspect_Ratio,3.2,—,—,b²/S,Calculated
Center_Body_Width,38.0,m,±0.1,STA 15.0,Maximum width
Center_Body_Length,28.5,m,±0.1,STA 10 to 35,Pressurized
Wing_Root_Chord,35.0,m,±0.2,BL 0,Centerline
Wing_Tip_Chord,3.5,m,±0.05,BL 26,Wingtip
Leading_Edge_Sweep,37,deg,±0.5,Reference line,Average
Quarter_Chord_Sweep,32,deg,±0.5,25% chord line,Aerodynamic
MAC,22.5,m,—,Calculated,Mean aerodynamic chord
Wetted_Area,1850,m²,±50,Total external,All surfaces
Fuselage_Max_Width,38.0,m,±0.1,STA 15.0,Center body
Fuselage_Max_Height,14.5,m,±0.05,STA 15.0,Top of structure
Cabin_Floor_Height,4.0,m,±0.02,WL 4.0,Above ground
Cabin_Internal_Height,2.4,m,±0.01,Centerline,Floor to ceiling
Door_Sill_Height,4.3,m,±0.02,WL 4.3,Passenger doors
Ground_Clearance_Min,1.8,m,±0.05,Belly,At MTOW
Nose_Gear_Height,2.1,m,±0.03,STA 2.5,Ground to centerline
Main_Gear_Height,1.9,m,±0.03,STA 18,Ground to trunnion
Wheelbase,15.5,m,±0.1,Nose to main gear,Longitudinal
Track,30.0,m,±0.1,Main gear spacing,Lateral
Turning_Radius,42.0,m,±0.5,Centerline,Minimum radius
Tail_Strike_Angle,14,deg,±0.5,At tail,Limit angle
Wingtip_Droop,0.15,m,+0.05/-0.00,At MTOW,Fuel load effect
