Station,Location_m,Description,Structure,Systems,Critical_Items
STA 0,0.0,Nose apex,Radome attachment,Weather radar,Datum point
STA 2.5,2.5,Nose landing gear,NLG trunnion,Steering actuator,Tow point
STA 3.2,3.2,Root LE,Leading edge structure,Pitot tubes,LE reference
STA 5,5.0,Cockpit fwd bulkhead,Pressure bulkhead,Avionics bay,Pressurization begins
STA 8,8.0,Windshield center,Windshield frame,Flight instruments,Pilot vision
STA 10,10.0,Cockpit aft bulkhead,Pressure bulkhead,Cockpit door,Cabin begins
STA 12,12.0,Forward pax door,Door frame,Door actuators,L1 door location
STA 15,15.0,Maximum width,Frame at widest,Systems concentration,Max width point
STA 18,18.0,Main landing gear,MLG trunnion,Hydraulic actuators,MLG centerline
STA 20,20.0,Forward H₂ tank,Tank support frame,Forward H₂ tank,Fuel CG forward
STA 22,22.0,Front wing spar,Wing spar junction,Fuel cells begin,Primary structure
STA 25,25.0,Wing center,Spar carrythrough,Wing systems,CG reference
STA 28,28.0,Rear wing spar,Wing spar junction,Fuel cells end,Aft structure
STA 30,30.0,Aft H₂ tank,Tank support frame,Aft H₂ tank,Fuel CG aft
STA 32,32.0,Aft cargo door,Door frame,Cargo handling,Cargo loading
STA 35,35.0,Aft pressure bulkhead,Pressure bulkhead,APU boundary,Pressurization ends
STA 36,36.0,APU location,APU mount,APU unit,Auxiliary power
STA 38.2,38.2,Trailing edge root,TE structure,Control surfaces,Aft extremity
