Spanwise_Station,y_b_ratio,y_m,Local_Chord_m,Local_CL,Section_Lift_kN_m,Cumulative_Lift_kN,Bending_Moment_kNm,Notes
Root,0.00,0.0,16.2,0.48,156.8,0.0,0.0,Center body centerline
10% Semi-Span,0.10,2.6,15.1,0.52,158.4,410.2,1065.5,Transition from center body to wing
20% Semi-Span,0.20,5.2,14.0,0.55,155.4,821.4,4262.1,Wing root region
30% Semi-Span,0.30,7.8,12.8,0.58,149.8,1229.5,9587.3,Inboard wing
40% Semi-Span,0.40,10.4,11.6,0.60,140.2,1618.2,16854.2,Mid-span wing
50% Semi-Span,0.50,13.0,10.4,0.62,129.9,1981.4,25632.7,Mid-span wing
60% Semi-Span,0.60,15.6,9.2,0.63,116.8,2312.8,35512.8,Outboard wing
70% Semi-Span,0.70,18.2,7.8,0.62,97.4,2608.6,45126.4,Outboard wing with aileron
80% Semi-Span,0.80,20.8,6.2,0.58,72.4,2861.2,53241.5,Tip region
90% Semi-Span,0.90,23.4,4.4,0.48,42.5,3062.4,58764.2,Near tip
Tip,1.00,26.0,2.8,0.28,15.8,3103.6,59845.7,Wingtip
