Dimension_ID,Dimension_Name,Design_Value,Unit,Tolerance_Plus,Tolerance_Minus,Measured_Value,Measurement_Method,Measurement_Date,Measurement_Location,Inspector,Result,Deviation,Notes
DIM-001,Wingspan,52.0,m,0.1,-0.1,TBD,Laser_Tracker,TBD,Assembly_Facility,TBD,PENDING,TBD,Wingtip to wingtip maximum span
DIM-002,Overall_Length,38.2,m,0.1,-0.1,TBD,CMM,TBD,Assembly_Facility,TBD,PENDING,TBD,Nose to aft-most point
DIM-003,Overall_Height,14.5,m,0.05,-0.05,TBD,Laser_Tracker,TBD,Assembly_Facility,TBD,PENDING,TBD,Ground to highest point (gear extended)
DIM-004,Wing_Area,845,m²,5,-5,TBD,CAD_Analysis,TBD,Engineering,TBD,PENDING,TBD,Total planform area
DIM-005,Center_Body_Width,38.0,m,0.1,-0.1,TBD,Photogrammetry,TBD,Assembly_Facility,TBD,PENDING,TBD,Maximum width at STA 15.0
DIM-006,Center_Body_Length,28.5,m,0.1,-0.1,TBD,CMM,TBD,Assembly_Facility,TBD,PENDING,TBD,Pressurized section length
DIM-007,Wing_Root_Chord,35.0,m,0.2,-0.2,TBD,Laser_Tracker,TBD,Assembly_Facility,TBD,PENDING,TBD,Chord at BL 0
DIM-008,Wing_Tip_Chord,3.5,m,0.05,-0.05,TBD,Tape_Measure,TBD,Assembly_Facility,TBD,PENDING,TBD,Chord at BL 26
DIM-009,MAC,22.5,m,—,—,TBD,Calculation,TBD,Engineering,TBD,PENDING,TBD,Mean aerodynamic chord (calculated)
DIM-010,Wetted_Area,1850,m²,50,-50,TBD,CAD_Analysis,TBD,Engineering,TBD,PENDING,TBD,Total external surface area
DIM-011,Cabin_Floor_Height,4.0,m,0.02,-0.02,TBD,Laser_Tracker,TBD,Assembly_Facility,TBD,PENDING,TBD,Height above ground at WL 4.0
DIM-012,Door_Sill_Height,4.3,m,0.02,-0.02,TBD,Laser_Tracker,TBD,Assembly_Facility,TBD,PENDING,TBD,Passenger door sill at WL 4.3
DIM-013,Wheelbase,15.5,m,0.1,-0.1,TBD,Tape_Measure,TBD,Assembly_Facility,TBD,PENDING,TBD,Nose gear to main gear distance
DIM-014,Track,30.0,m,0.1,-0.1,TBD,Tape_Measure,TBD,Assembly_Facility,TBD,PENDING,TBD,Main gear lateral spacing
DIM-015,Turning_Radius,42.0,m,0.5,-0.5,TBD,Calculation,TBD,Engineering,TBD,PENDING,TBD,Minimum turning radius (calculated)
DIM-016,Aspect_Ratio,3.2,—,—,—,TBD,Calculation,TBD,Engineering,TBD,PENDING,TBD,"b²/S, calculated from span and area"
DIM-017,Leading_Edge_Sweep,37,deg,0.5,-0.5,TBD,CAD_Analysis,TBD,Engineering,TBD,PENDING,TBD,Average LE sweep angle
DIM-018,Quarter_Chord_Sweep,32,deg,0.5,-0.5,TBD,CAD_Analysis,TBD,Engineering,TBD,PENDING,TBD,25% chord line sweep
DIM-019,Cabin_Internal_Height,2.4,m,0.01,-0.01,TBD,Tape_Measure,TBD,Assembly_Facility,TBD,PENDING,TBD,Floor to ceiling at centerline
DIM-020,Nose_Gear_Height,2.1,m,0.03,-0.03,TBD,Caliper,TBD,Assembly_Facility,TBD,PENDING,TBD,Ground to centerline at STA 2.5
