DMC,Title,Info_Code,Type,Issue,Date,Status
AMP-A-02-32-00-00-00A-941A-A,H2 Refueling System Description,941,Descriptive,001,2025-11-04,Active
AMP-A-02-32-00-00-00A-100A-A,Troubleshooting Procedures,100,Fault,001,2025-11-04,Active
AMP-A-02-32-10-10-00A-520A-A,Refueling Panel Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-10-20-00A-520A-A,Refueling Panel Removal,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-10-30-00A-520A-A,Refueling Panel Installation,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-10-40-00A-520A-A,Refueling Panel Test,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-10-50-00A-520A-A,Panel Connector Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-10-60-00A-520A-A,Panel Connector Replacement,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-10-70-00A-520A-A,Panel Seal Inspection Replacement,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-20-10-00A-520A-A,Receptacle Visual Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-20-20-00A-520A-A,Receptacle Removal,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-20-30-00A-520A-A,Receptacle Installation,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-20-40-00A-520A-A,Receptacle Rigging,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-20-50-00A-520A-A,Coupling Mechanism Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-20-60-00A-520A-A,Coupling Mechanism Adjustment,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-20-70-00A-520A-A,Pressure Test Receptacle 5 bar,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-20-80-00A-520A-A,Helium Leak Test Receptacle,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-30-10-00A-520A-A,Main Refueling Valve Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-30-20-00A-520A-A,Main Refueling Valve Removal,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-30-30-00A-520A-A,Main Refueling Valve Installation,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-30-40-00A-520A-A,Main Valve Rigging,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-30-50-00A-520A-A,Isolation Valve Inspection,520,Procedural,001,2025-11-04,Active
AMP-A-02-32-30-60-00A-520A-A,Check Valve Inspection,520,Procedural,001,2025-11-04,Active
