# 85-80-02-A-004 Hydrogen Electrolyzer Specifications
# Green H2 Production Facility
Parameter,PEM_Technology,Alkaline_Technology,Selected_Technology
Rated_Power_MW,10.0,10.0,PEM (Selected)
H2_Production_Rate_kg_h,200,190,200
Efficiency_HHV_%,65,70,65
Operating_Pressure_bar,30,15,30
Stack_Life_hours,80000,90000,80000
Load_Range_%,10-110,20-100,10-110
Response_Time_sec,1,60,1
Water_Consumption_L_kg_H2,9.5,10.2,9.5
Power_Supply_kV,11,11,11
Footprint_m2,150,200,150
Capex_EUR_kW,800,600,800
Opex_EUR_kW_year,15,12,15

# Document Control: Generated by AI (GitHub Copilot), prompted by Amedeo Pelliccia | Status: DRAFT | 2025-11-22
