# 85-80-00-A-001 Energy Balance Model
# Annual Energy Flow - Airport Energy System
Energy_Flow,Annual_Energy_MWh,Percentage_%,Category
Grid_Import,125000,73.5,Supply
Solar_PV_Generation,16500,9.7,Supply
Wind_Generation,8760,5.1,Supply
BESS_Discharge,5000,2.9,Supply
H2_Import,15000,8.8,Supply
Total_Supply,170260,100.0,Supply
Terminal_Buildings_Consumption,45000,26.4,Demand
Apron_Ground_Power,32000,18.8,Demand
H2_Production_Electrolysis,73000,42.9,Demand
Maintenance_Facilities,12000,7.0,Demand
General_Services,8260,4.9,Demand
Total_Demand,170260,100.0,Demand
Distribution_Losses,5200,3.1,Losses

# Document Control: Generated by AI (GitHub Copilot), prompted by Amedeo Pelliccia | Status: DRAFT | 2025-11-22
