# 85-80-00-A-002 Carbon Intensity Tracking
# Monthly Carbon Emissions from Energy System
Month,Grid_Emissions_tCO2,Renewable_Offset_tCO2,H2_Production_Emissions_tCO2,Net_Emissions_tCO2,Intensity_gCO2_kWh
January,1250,-180,85,1155,240
February,1180,-165,80,1095,235
March,1220,-205,82,1097,225
April,1150,-245,78,983,200
May,1100,-285,75,890,180
June,1080,-295,73,858,175
July,1090,-290,74,874,178
August,1120,-270,76,926,188
September,1160,-230,79,1009,210
October,1200,-195,81,1086,225
November,1230,-175,83,1138,238
December,1260,-170,86,1176,245
Annual_Total,14040,-2705,952,12287,210_avg

# Document Control: Generated by AI (GitHub Copilot), prompted by Amedeo Pelliccia | Status: DRAFT | 2025-11-22
