Spec_ID,System_Name,Parameter,Specification_Value,Unit,Min_Value,Max_Value,Nominal_Value,Tolerance,Test_Method,Compliance_Standard,Criticality,Verification_Status,Notes
PS-85-001,H2 Refueling System,Dispensing Rate,1000,kg/h,800,1200,1000,±10%,Flow test per SAE AS 6858,SAE AS 6858,Critical,TBD,Target 5-minute refuel time
PS-85-002,H2 Refueling System,Operating Pressure,350,bar,340,360,350,±2.9%,Pressure calibration,ISO 19880-1,Critical,TBD,700 bar option for future expansion
PS-85-003,H2 Refueling System,H2 Purity,99.97,%,99.95,100.0,99.97,+0.03%,Gas chromatography,ISO 14687:2019,Critical,TBD,Aviation-grade hydrogen
PS-85-004,H2 Refueling System,Maximum Impurities - Total,300,ppm,0,300,<100,N/A,Lab analysis,ISO 14687:2019,Critical,TBD,Water + hydrocarbons + other
PS-85-005,H2 Refueling System,Connection Time,30,seconds,20,45,30,±15s,Operator trial,SAE AS 6858,Important,TBD,Automated quick disconnect
PS-85-006,H2 Refueling System,Leak Rate,<1,mL/min @ 350 bar,0,1,0,N/A,Helium leak test,SAE AS 6858,Critical,TBD,Zero leakage target
PS-85-007,H2 Storage System,Total Capacity,10000,kg,N/A,N/A,10000,N/A,Volumetric calculation,ASME BPVC Sect VIII,Critical,TBD,Three 10000 kg tanks
PS-85-008,H2 Storage System,Storage Temperature,-253,°C,-255,-250,-253,±2°C,Cryogenic monitoring,EN 13458,Critical,TBD,Liquid hydrogen storage
PS-85-009,H2 Storage System,Vacuum Insulation Performance,<1,%/day,0,1,0.5,N/A,Boil-off rate test,EN 13458,Critical,TBD,Daily evaporation loss
PS-85-010,H2 Storage System,Maximum Pressure,10,bar,N/A,10,5,N/A,Pressure relief valve test,ASME BPVC,Critical,TBD,Safety margin for cryogenic
PS-85-011,H2 Vaporizer,Vaporization Capacity,500,kg/h,450,600,500,±10%,Thermal performance test,ASME B31.3,Critical,TBD,LH2 to GH2 conversion
PS-85-012,H2 Vaporizer,Outlet Temperature,15,°C,10,25,15,±5°C,Temperature monitoring,ASME B31.3,Important,TBD,Ambient gaseous H2
PS-85-013,H2 Vaporizer,Thermal Efficiency,>95,%,95,100,97,N/A,Energy balance calculation,N/A,Important,TBD,Heat exchanger efficiency
PS-85-014,H2 Leak Detection,Detection Threshold,1000,ppm,500,2000,1000,N/A,Calibration test,IEC 60079-29-1,Critical,TBD,0.25% LEL (4% = LEL)
PS-85-015,H2 Leak Detection,Response Time,<1,seconds,0,1,0.5,N/A,Sensor response test,IEC 60079-29-1,Critical,TBD,Immediate alarm activation
PS-85-016,H2 Leak Detection,Coverage,100,%,100,100,100,N/A,Detector placement study,NFPA 2,Critical,TBD,All H2 zones monitored
PS-85-017,Electrical System,Utility Voltage,13.8,kV,13.11,14.49,13.8,±5%,Voltage recording,IEEE C84.1,Critical,TBD,Primary feeder voltage
PS-85-018,Electrical System,Distribution Voltage,480,V,456,504,480,±5%,Voltage recording,IEEE C84.1,Critical,TBD,Secondary distribution
PS-85-019,Electrical System,Frequency,60,Hz,59.5,60.5,60,±0.5 Hz,Frequency meter,IEEE 1547,Critical,TBD,Grid synchronization
PS-85-020,Electrical System,Power Factor,>0.95,N/A,0.95,1.0,0.97,N/A,Power analyzer,IEEE 519,Important,TBD,Minimize reactive power
PS-85-021,Electrical System,Total Harmonic Distortion (THD),<5,%,0,5,<3,N/A,Harmonic analyzer,IEEE 519,Important,TBD,Power quality requirement
PS-85-022,Ground Power Unit,Output Power,400,kVA,360,440,400,±10%,Load bank test,MIL-STD-704F,Critical,TBD,Aircraft ground power
