Source_ID,Source_Type,Target_ID,Target_Type,Relationship,Rationale,Status,Last_Verified,Verified_By
95-00-03-REQ-001,Requirement,95-00-09-01-001,Process,IMPL,Model freeze implements requirement traceability,ACTIVE,2025-11-17,Production Planning Board
95-00-03-REQ-002,Requirement,95-00-09-02-001,Architecture,IMPL,Data pipeline implements data quality requirements,ACTIVE,2025-11-17,Data Engineering Lead
95-00-03-REQ-003,Requirement,95-00-09-03-001,Architecture,IMPL,MLOps architecture implements deployment requirements,ACTIVE,2025-11-17,MLOps Lead
95-00-04-DES-001,Design,95-00-09-01-002,Baseline,DRVF,Production baseline derives from approved design,ACTIVE,2025-11-17,Design Authority
95-00-04-DES-002,Design,95-00-09-04-001,Strategy,IMPL,SW/HW strategy implements design specifications,ACTIVE,2025-11-17,Systems Engineer
95-00-05-INT-001,Interface,95-00-09-05-001,Definition,REFS,Supply chain references interface specifications,ACTIVE,2025-11-17,Integration Engineer
95-00-06-ENG-001,Engineering,95-00-09-01-001,Process,VALD,Engineering artifacts validated by freeze process,ACTIVE,2025-11-17,Engineering Lead
95-00-07-VV-001,V&V Report,95-00-09-07-001,Strategy,DRVF,Production V&V strategy derives from development V&V,ACTIVE,2025-11-17,V&V Lead
95-00-08-PRO-001,Prototype,95-00-09-00-001,Strategy,REFS,Production strategy references prototype lessons learned,ACTIVE,2025-11-17,Prototype Manager
95-00-09-00-001,Strategy,95-00-09-01-001,Process,REFN,Model freeze process refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-02-001,Architecture,REFN,Data architecture refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-03-001,Architecture,REFN,MLOps architecture refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-04-001,Strategy,REFN,SW/HW strategy refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-05-001,Definition,REFN,Supply chain definition refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-06-001,Strategy,REFN,DPP strategy refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-07-001,Strategy,REFN,Production V&V strategy refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-08-001,Strategy,REFN,Monitoring strategy refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-09-001,Strategy,REFN,EIS strategy refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-10-001,Standard,REFN,Documentation standard refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-001,Strategy,95-00-09-11-001,Strategy,REFN,Certification strategy refines production strategy,ACTIVE,2025-11-17,Production Planning Board
95-00-09-00-002,Criteria,95-00-09-01-005,Checklist,IMPL,Readiness checklist implements industrialization criteria,ACTIVE,2025-11-17,Quality Assurance
95-00-09-01-001,Process,95-00-09-01-002,Baseline,DRVF,Baselined documents derive from freeze process,ACTIVE,2025-11-17,Configuration Management
95-00-09-01-003,Process,95-00-09-01-004,Parameters,REFS,Change control references configurable parameters,ACTIVE,2025-11-17,Change Control Board
