Document_ID,Title,Status,Phase,Traces_To_Requirements,Traces_To_Hazards,Traces_To_VV,Traces_To_Design,Authority,Last_Updated
95-00-10-00-001,Certification Strategy,APPROVED,00,REQ-CERT-001,,,DES-SYS-001,"EASA,FAA",2025-11-17
95-00-10-00-002,Certification Lifecycle Overview,APPROVED,00,REQ-CERT-002,,,DES-SYS-002,"EASA,FAA",2025-11-17
95-00-10-00-003,Certification Taxonomy,APPROVED,00,REQ-CERT-003,,,,DUAL,2025-11-17
95-00-10-00-004,Certification Traceability Matrix,APPROVED,00,REQ-CERT-004,,,,DUAL,2025-11-17
95-00-10-00-005,Regulatory Framework Index,DRAFT,00,REQ-CERT-005,,,,DUAL,2025-11-17
95-00-10-00-006,Authority Contacts Registry,DRAFT,00,,,,,DUAL,2025-11-17
95-00-10-00-007,CAOS Certification Hooks,DRAFT,00,REQ-AI-001,,,DES-AI-001,DUAL,2025-11-17
95-00-10-01-001,Regulatory Frameworks Overview,DRAFT,01,REQ-CERT-010,,,,DUAL,2025-11-17
95-00-10-01-002,EASA Framework for AI and SW,DRAFT,01,REQ-AI-010,,,,"EASA",2025-11-17
95-00-10-01-003,FAA Framework for AI and SW,DRAFT,01,REQ-AI-011,,,,"FAA",2025-11-17
95-00-10-01-004,EU AI Act and Other Legal Regimes,DRAFT,01,REQ-LEGAL-001,,,,"EASA",2025-11-17
95-00-10-01-005,Industry Standards Map,DRAFT,01,REQ-STD-001,,,,DUAL,2025-11-17
95-00-10-02-001,Certification Basis Definition,DRAFT,02,REQ-CERT-020,,,,DUAL,2025-11-17
95-00-10-02-002,Applicable Regulations and Standards,DRAFT,02,REQ-CERT-021,,,,DUAL,2025-11-17
95-00-10-02-003,Special Conditions and Equivalent Levels,DRAFT,02,REQ-CERT-022,,,,DUAL,2025-11-17
95-00-10-02-004,MOC Methods of Compliance Definition,DRAFT,02,REQ-CERT-023,,,,DUAL,2025-11-17
95-00-10-02-005,Assumptions and Limitations,DRAFT,02,REQ-CERT-024,,,,DUAL,2025-11-17
95-00-10-03-001,Compliance Strategy Overview,DRAFT,03,REQ-CERT-030,,,,DUAL,2025-11-17
95-00-10-03-002,Compliance Roadmap and Milestones,DRAFT,03,REQ-CERT-031,,,,DUAL,2025-11-17
95-00-10-03-003,Certification Plans for AI Functions,DRAFT,03,REQ-AI-030,,,DES-AI-010,DUAL,2025-11-17
95-00-10-03-004,Roles and Responsibilities in Certification,DRAFT,03,REQ-CERT-033,,,,DUAL,2025-11-17
95-00-10-03-005,Compliance Risk Assessment,DRAFT,03,REQ-CERT-034,HAZ-CERT-001,,,DUAL,2025-11-17
95-00-10-04-001,Evidence Strategy,DRAFT,04,REQ-CERT-040,,,,DUAL,2025-11-17
95-00-10-04-002,Evidence Catalog Structure,DRAFT,04,REQ-CERT-041,,,,DUAL,2025-11-17
95-00-10-04-003,Traceability Rules and Conventions,DRAFT,04,REQ-CERT-042,,,,DUAL,2025-11-17
95-00-10-04-004,Links to Requirements And VV,DRAFT,04,REQ-CERT-043,,VV-ALL,,DUAL,2025-11-17
95-00-10-04-005,Digital Evidence Integrity and Signatures,DRAFT,04,REQ-CERT-044,,,,DUAL,2025-11-17
95-00-10-05-001,Safety Case Concept for NN,DRAFT,05,REQ-AI-050,HAZ-AI-ALL,VV-AI-050,DES-AI-020,DUAL,2025-11-17
95-00-10-05-002,AI Assurance Goals and Claims,DRAFT,05,REQ-AI-051,HAZ-AI-001,,,DUAL,2025-11-17
95-00-10-05-003,Safety Arguments and Evidence Links,DRAFT,05,REQ-AI-052,HAZ-AI-ALL,VV-AI-051,DES-AI-021,DUAL,2025-11-17
95-00-10-05-004,AI Assurance Criteria and Metrics,DRAFT,05,REQ-AI-053,,VV-AI-052,,DUAL,2025-11-17
95-00-10-05-005,Hazard and Failure Analysis Links,DRAFT,05,REQ-SAFE-001,HAZ-ALL,,,DUAL,2025-11-17
95-00-10-06-001,SW Certification Strategy DO178 Family,DRAFT,06,REQ-SW-001,,,DES-SW-001,DUAL,2025-11-17
95-00-10-06-002,HW Certification Strategy DO254 Family,DRAFT,06,REQ-HW-001,,,DES-HW-001,DUAL,2025-11-17
95-00-10-06-003,Tool Qualification and Automation,DRAFT,06,REQ-TOOL-001,,,,DUAL,2025-11-17
95-00-10-06-004,Integration with Existing Cert Frameworks,DRAFT,06,REQ-CERT-060,,,,DUAL,2025-11-17
