Entity Type,Entity ID,Version,Status,Created Date,Certified Date,Deployed Date,Supersedes,Depends On,Used By,Requirements,V&V Evidence,Certification Basis,DPP Anchor,Owner,Notes
Aircraft Configuration,AMPEL360-BWB-H2,v2.3.1,Production,2025-10-01,2025-11-18,2025-11-20,v2.3.0,"HW-BOM-v2.3, SW-Baseline-v2.3.1, NN-Suite-v2.3","AC001, AC002, AC003","REQ-001 to REQ-137",95-00-07-02-xxx,"CS-25, DO-178C",0x7f3a2b9c,Chief Engineer,Current production baseline
Neural Network,FlightControlNN,v2.1.0-build3421,Production,2025-11-10,2025-11-18,2025-11-20,v2.0.5-build3204,FlightTestData-v2025.11.003,FlightControlSystem-v4.1.0,"REQ-FC-001 to REQ-FC-028",95-00-07-05-042,"CS-25.1309, DO-178C DAL A",0x9e4b3a1f,AI Lead,95% accuracy validated
Neural Network,EnergyMgmtNN,v1.8.2-build2987,Production,2025-10-25,2025-11-15,2025-11-20,v1.8.1-build2901,OperationalData-v2025.10.015,PowerMgmtSystem-v2.2.1,"REQ-EM-001 to REQ-EM-019",95-00-07-05-038,DO-178C DAL B,0x3c7d8e2a,Energy Systems,8% efficiency gain
Neural Network,PredMaintNN,v1.5.1-build3102,Production,2025-11-01,2025-11-12,2025-11-20,v1.5.0-build3001,MaintenanceData-v2025.10.008,CAOSPlatform-v2.3.0,"REQ-PM-001 to REQ-PM-015",95-00-07-05-034,DO-178C DAL C,0x5a1f9b4e,CAOS Team,500hr prediction horizon
Training Dataset,FlightTestData,v2025.11.003,Active,2025-11-03,N/A,2025-11-10,v2025.10.012,DataPipeline-v1.2.3,"FlightControlNN-v2.1.0, CollisionAvoidNN-v1.3.2",REQ-DATA-FC-001,95-00-09-03-018,ISO/IEC 23053,0xb3e7a5c1,Data Engineering,12500 flight hours
Training Dataset,OperationalData,v2025.11.001,Active,2025-11-01,N/A,2025-11-05,v2025.10.018,DataPipeline-v1.2.3,"EnergyMgmtNN-v1.8.2, RouteOptNN-v2.1.0",REQ-DATA-OPS-001,95-00-09-03-022,ISO/IEC 23053,0x2d9c4f8a,Data Engineering,8200 operational hours
Software,FlightControlSW,v4.1.0,Production,2025-09-15,2025-11-10,2025-11-20,v4.0.8,"RTOS-v2.3, FlightControlNN-v2.1.0",FCC-Primary,"REQ-FCS-001 to REQ-FCS-082",95-00-07-04-051,DO-178C DAL A,0xe4a3b7f2,Avionics SW,Primary flight control
Software,CAOSPlatform,v2.3.0,Production,2025-10-01,2025-11-15,2025-11-20,v2.2.5,"PredMaintNN-v1.5.1, CloudInterface-v1.4.0",All Aircraft Systems,"REQ-CAOS-001 to REQ-CAOS-065",95-00-07-04-048,DO-178C DAL C,0x7b2e9d4c,CAOS Team,Fleet learning enabled
Hardware,H2-StorageTank-Primary,v1.2.4,Production,2025-08-01,2025-10-20,2025-11-20,v1.2.3,N/A,FuelSystem-v1.5.2,"REQ-H2-001 to REQ-H2-034",95-00-07-06-029,"CS-25.981, ISO 19881",0x6f8a1c3e,H2 Systems,Type IV composite
Hardware,FuelCell-Stack-A,v2.0.3,Production,2025-07-15,2025-10-15,2025-11-20,v2.0.2,N/A,PowerPlant-v2.1.0,"REQ-FC-001 to REQ-FC-041",95-00-07-06-025,CS-25 Subpart E,0x9a5d2f7b,Propulsion,2.5MW PEM stack
Documentation,AFM,RevC,Production,2025-11-01,2025-11-18,2025-11-20,RevB,Aircraft-v2.3.1,Operators,N/A,95-00-10-04-012,CS-25.1581,N/A,Tech Pubs,Flight Manual
Documentation,AMM,RevB,Production,2025-10-20,2025-11-15,2025-11-20,RevA,Aircraft-v2.3.1,Maintenance Orgs,N/A,95-00-10-04-015,ATA iSpec 2200,N/A,Tech Pubs,Maintenance Manual
DPP Entry,DPP-AC001-20251120T100000Z,00042,Committed,2025-11-20,N/A,2025-11-20,00041,Aircraft-v2.3.1,Blockchain,N/A,N/A,EU DPP Regulation,0x8c3f5e1a,DPP Admin,Initial deployment
System,FuelSystem,v1.5.2,Production,2025-09-01,2025-11-05,2025-11-20,v1.5.1,"H2-Tank-v1.2.4, Pumps-v2.1.0, Sensors-v3.0.2",PropulsionIntegration,"REQ-ATA28-001 to REQ-ATA28-067",95-00-07-03-033,CS-25.951 to CS-25.981,0x4e9b2a7c,Fuel Systems,Cryogenic H2
System,PowerMgmtSystem,v2.2.1,Production,2025-09-10,2025-11-08,2025-11-20,v2.2.0,"FuelCell-v2.0.3, Battery-v1.8.0, EnergyMgmtNN-v1.8.2",ElectricalDist,"REQ-ATA24-001 to REQ-ATA24-093",95-00-07-03-041,CS-25.1351 to CS-25.1365,0xa7d4e3f9,Electrical,Hybrid power arch
