Subsystem_ID,Subsystem_Name,Requirement_ID,Component_ID,V&V_Document,Certification_Evidence,Parent_ATA,Notes
95-20-01,NN_Core_Platform,95-00-03-REQ-001,95-00-13-C-001,95-00-07-VV-001,95-00-10-CERT-001,ATA 95,Core infrastructure for all NN subsystems
95-20-01,NN_Core_Platform,95-00-03-REQ-002,95-00-13-C-001,95-00-07-VV-002,95-00-10-CERT-001,ATA 95,Model registry functionality
95-20-01,NN_Core_Platform,95-00-03-REQ-003,95-00-13-C-001,95-00-07-VV-003,95-00-10-CERT-001,ATA 95,Inference runtime performance
95-20-02,NN_DPP_Blockchain,95-00-03-REQ-004,95-00-13-C-002,95-00-07-VV-004,95-00-10-CERT-002,ATA 95,Blockchain provenance chain
95-20-02,NN_DPP_Blockchain,95-00-03-REQ-005,95-00-13-C-002,95-00-07-VV-005,95-00-10-CERT-002,ATA 95,Smart contract verification
95-20-02,NN_DPP_Blockchain,95-00-03-REQ-006,95-00-13-C-002,95-00-07-VV-006,95-00-10-CERT-002,ATA 95,Query interface for audits
95-20-21,NN_ECS,95-00-03-REQ-021,95-00-13-C-021,95-00-07-VV-021,95-00-10-CERT-021,ATA 21,Cabin temperature prediction
95-20-21,NN_ECS,95-00-03-REQ-022,95-00-13-C-021,95-00-07-VV-022,95-00-10-CERT-021,ATA 21,Air quality monitoring
95-20-21,NN_ECS,95-00-03-REQ-023,95-00-13-C-021,95-00-07-VV-023,95-00-10-CERT-021,ATA 21,HVAC optimization
95-20-27,NN_Flight_Controls,95-00-03-REQ-027,95-00-13-C-027,95-00-07-VV-027,95-00-10-CERT-027,ATA 27,Aerodynamic predictor (CFD surrogate)
95-20-27,NN_Flight_Controls,95-00-03-REQ-028,95-00-13-C-027,95-00-07-VV-028,95-00-10-CERT-027,ATA 27,Control surface optimization
95-20-27,NN_Flight_Controls,95-00-03-REQ-029,95-00-13-C-027,95-00-07-VV-029,95-00-10-CERT-027,ATA 27,Gust load alleviation
95-20-27,NN_Flight_Controls,95-00-03-REQ-030,95-00-13-C-027,95-00-07-VV-030,95-00-10-CERT-027,ATA 27,Failover to conventional laws (<10ms)
95-20-28,NN_Fuel_System,95-00-03-REQ-031,95-00-13-C-028,95-00-07-VV-031,95-00-10-CERT-028,ATA 28,H2 level prediction (±2%)
95-20-28,NN_Fuel_System,95-00-03-REQ-032,95-00-13-C-028,95-00-07-VV-032,95-00-10-CERT-028,ATA 28,Boiloff rate estimation
95-20-28,NN_Fuel_System,95-00-03-REQ-033,95-00-13-C-028,95-00-07-VV-033,95-00-10-CERT-028,ATA 28,Fuel optimization (5% efficiency)
