Requirement,Design,Interface,Engineering,Verification,Notes
RQ-95-03-021-001,95-00-04-A021-001,95-20-21-A-401,95-20-21-A-101,95-00-07-21-001,Cabin temperature prediction requirement
RQ-95-03-021-002,95-00-04-A021-002,95-20-21-A-401,95-20-21-A-102,95-00-07-21-002,Air quality monitoring requirement
RQ-95-03-021-003,95-00-04-A021-003,95-20-21-A-401,95-20-21-A-103,95-00-07-21-003,HVAC optimization requirement
RQ-95-03-021-004,95-00-04-A021-004,95-20-21-A-401,95-20-21-A-104,95-00-07-21-004,Cabin pressure control requirement
RQ-95-03-021-005,95-00-04-A021-005,95-20-21-A-401,95-20-21-A-105,95-00-07-21-005,Humidity management requirement
RQ-95-03-021-006,95-00-04-A021-006,95-20-21-A-401,95-20-21-A-106,95-00-07-21-006,CO2 scrubbing optimization requirement
RQ-95-03-021-010,95-00-04-A021-010,95-20-21-A-403,95-20-21-002,95-00-07-21-010,Temperature sensor input specifications
RQ-95-03-021-011,95-00-04-A021-011,95-20-21-A-403,95-20-21-003,95-00-07-21-011,Air quality sensor input specifications
RQ-95-03-021-012,95-00-04-A021-012,95-20-21-A-403,95-20-21-005,95-00-07-21-012,Pressure sensor input specifications
RQ-95-03-021-013,95-00-04-A021-013,95-20-21-A-403,95-20-21-006,95-00-07-21-013,Humidity sensor input specifications
RQ-95-03-021-020,95-00-04-A021-020,95-20-21-A-404,95-20-21-004,95-00-07-21-020,HVAC actuator output specifications
RQ-95-03-021-021,95-00-04-A021-021,95-20-21-A-404,95-20-21-005,95-00-07-21-021,Pressure valve output specifications
RQ-95-03-021-022,95-00-04-A021-022,95-20-21-A-404,95-20-21-006,95-00-07-21-022,Humidity actuator output specifications
RQ-95-03-021-023,95-00-04-A021-023,95-20-21-A-404,95-20-21-007,95-00-07-21-023,CO2 scrubber actuator output specifications
RQ-95-03-021-030,95-00-04-A021-030,95-20-21-008,95-20-21-A-101,95-00-07-21-030,ATA 21 integration - temperature
RQ-95-03-021-031,95-00-04-A021-031,95-20-21-008,95-20-21-A-102,95-00-07-21-031,ATA 21 integration - air quality
RQ-95-03-021-032,95-00-04-A021-032,95-20-21-008,95-20-21-A-103,95-00-07-21-032,ATA 21 integration - HVAC
RQ-95-03-021-033,95-00-04-A021-033,95-20-21-008,95-20-21-A-104,95-00-07-21-033,ATA 21 integration - pressure
RQ-95-03-021-040,95-00-04-A021-040,95-20-21-A-402,95-20-21-001,95-00-07-21-040,IMA compute resource allocation
RQ-95-03-021-041,95-00-04-A021-041,95-20-21-A-402,95-20-21-001,95-00-07-21-041,Inference latency requirements
RQ-95-03-021-042,95-00-04-A021-042,95-20-21-A-402,95-20-21-001,95-00-07-21-042,Memory footprint requirements
RQ-95-03-021-050,95-00-04-A021-050,95-20-21-009,95-20-21-A-501,95-00-07-21-050,DO-178C DAL C compliance
RQ-95-03-021-051,95-00-04-A021-051,95-20-21-009,95-20-21-A-502,95-00-07-21-051,EASA SC-AI compliance
RQ-95-03-021-052,95-00-04-A021-052,95-20-21-009,95-20-21-A-504,95-00-07-21-052,FMEA completion requirement
RQ-95-03-021-053,95-00-04-A021-053,95-20-21-009,95-20-21-A-504,95-00-07-21-053,FTA completion requirement
RQ-95-03-021-060,95-00-04-A021-060,95-20-21-010,95-20-21-801,95-00-07-21-060,Flight crew operations manual
RQ-95-03-021-061,95-00-04-A021-061,95-20-21-010,95-20-21-802,95-00-07-21-061,Maintenance procedures manual
RQ-95-03-021-062,95-00-04-A021-062,95-20-21-010,95-20-21-803,95-00-07-21-062,Troubleshooting guide
RQ-95-03-021-070,95-00-04-A021-070,95-20-21-001,95-20-21-A-201,95-00-07-21-070,Model accuracy requirements
RQ-95-03-021-071,95-00-04-A021-071,95-20-21-001,95-20-21-A-202,95-00-07-21-071,Energy efficiency requirements
RQ-95-03-021-072,95-00-04-A021-072,95-20-21-001,95-20-21-A-203,95-00-07-21-072,Passenger comfort requirements
RQ-95-03-021-073,95-00-04-A021-073,95-20-21-001,95-20-21-A-204,95-00-07-21-073,Inference performance requirements
RQ-95-03-021-080,95-00-04-A021-080,95-20-21-009,95-20-21-A-301,95-00-07-21-080,Ground test requirements
RQ-95-03-021-081,95-00-04-A021-081,95-20-21-009,95-20-21-A-302,95-00-07-21-081,Flight test requirements
RQ-95-03-021-082,95-00-04-A021-082,95-20-21-009,95-20-21-A-303,95-00-07-21-082,HIL test requirements
RQ-95-03-021-083,95-00-04-A021-083,95-20-21-009,95-20-21-A-304,95-00-07-21-083,Environmental test requirements
RQ-95-03-021-090,95-00-04-A021-090,95-20-21-014,95-20-21-001,95-00-07-21-090,CAOS integration requirement
RQ-95-03-021-091,95-00-04-A021-091,95-20-21-014,95-20-21-013,95-00-07-21-091,Asset registry requirement
RQ-95-03-021-100,95-00-04-A021-100,95-20-21-002,95-20-21-601,95-00-07-21-100,Training data - temperature
RQ-95-03-021-101,95-00-04-A021-101,95-20-21-003,95-20-21-602,95-00-07-21-101,Training data - air quality
RQ-95-03-021-102,95-00-04-A021-102,95-20-21-004,95-20-21-603,95-00-07-21-102,Training data - passenger comfort
RQ-95-03-021-103,95-00-04-A021-103,95-20-21-001,95-20-21-604,95-00-07-21-103,Validation dataset
RQ-95-03-021-104,95-00-04-A021-104,95-20-21-001,95-20-21-605,95-00-07-21-104,Synthetic data - digital twin
