Component_ID,Component_Name,ATA_Chapter,Requirement_ID,Design_Doc,Interface_Doc,V&V_Test,Cert_Evidence,Ops_Procedure,Maintenance_Task,DPP_Entry,Status
PROP-70-001,Propulsion Installation Standards,70,REQ-70-001,95-70-70-002,95-70-00-003,TEST-70-001,CERT-70-001,OPS-70-001,MAINT-70-001,DPP-70-001,Active
PROP-70-002,Safety Margins Database,70,REQ-70-002,95-70-70-003,N/A,TEST-70-002,CERT-70-002,OPS-70-002,N/A,DPP-70-002,Active
PROP-71-001,Nacelle Structure,71,REQ-71-001,95-70-71-002,95-70-71-003,TEST-71-001,CERT-71-001,OPS-71-001,MAINT-71-001,DPP-71-001,Active
PROP-71-002,Pylon Assembly,71,REQ-71-002,95-70-71-002,95-70-71-003,TEST-71-002,CERT-71-002,OPS-71-002,MAINT-71-002,DPP-71-002,Active
PROP-71-003,Engine Mounting Hardware,71,REQ-71-003,95-70-71-002,95-70-71-003,TEST-71-003,CERT-71-003,OPS-71-003,MAINT-71-003,DPP-71-003,Active
PROP-72-001,Open-Fan Propulsor L1,72,REQ-72-001,95-70-72-002,95-70-72-005,TEST-72-001,CERT-72-001,OPS-72-001,MAINT-72-001,DPP-72-001,Active
PROP-72-002,Open-Fan Propulsor R1,72,REQ-72-001,95-70-72-002,95-70-72-005,TEST-72-001,CERT-72-001,OPS-72-001,MAINT-72-001,DPP-72-002,Active
PROP-72-003,Hybrid Electric Motor L1,72,REQ-72-002,95-70-72-002,95-70-72-005,TEST-72-002,CERT-72-002,OPS-72-002,MAINT-72-002,DPP-72-003,Active
PROP-72-004,Hybrid Electric Motor R1,72,REQ-72-002,95-70-72-002,95-70-72-005,TEST-72-002,CERT-72-002,OPS-72-002,MAINT-72-002,DPP-72-004,Active
PROP-73-001,Engine Fuel Pump L1,73,REQ-73-001,95-70-73-002,95-70-73-004,TEST-73-001,CERT-73-001,OPS-73-001,MAINT-73-001,DPP-73-001,Active
PROP-73-002,Engine Fuel Pump R1,73,REQ-73-001,95-70-73-002,95-70-73-004,TEST-73-001,CERT-73-001,OPS-73-001,MAINT-73-001,DPP-73-002,Active
PROP-73-003,Fuel Metering Unit L1,73,REQ-73-002,95-70-73-003,95-70-73-004,TEST-73-002,CERT-73-002,OPS-73-002,MAINT-73-002,DPP-73-003,Active
PROP-73-004,Fuel Metering Unit R1,73,REQ-73-002,95-70-73-003,95-70-73-004,TEST-73-002,CERT-73-002,OPS-73-002,MAINT-73-002,DPP-73-004,Active
PROP-75-001,Bleed Air Manifold,75,REQ-75-001,95-70-75-002,95-70-75-003,TEST-75-001,CERT-75-001,OPS-75-001,MAINT-75-001,DPP-75-001,Active
PROP-75-002,Bleed Control Valve L1,75,REQ-75-002,95-70-75-002,95-70-75-003,TEST-75-002,CERT-75-002,OPS-75-002,MAINT-75-002,DPP-75-002,Active
PROP-75-003,Bleed Control Valve R1,75,REQ-75-002,95-70-75-002,95-70-75-003,TEST-75-002,CERT-75-002,OPS-75-002,MAINT-75-002,DPP-75-003,Active
PROP-76-001,FADEC Channel A L1,76,REQ-76-001,95-70-76-002,95-70-76-004,TEST-76-001,CERT-76-001,OPS-76-001,MAINT-76-001,DPP-76-001,Active
PROP-76-002,FADEC Channel B L1,76,REQ-76-001,95-70-76-002,95-70-76-004,TEST-76-001,CERT-76-001,OPS-76-001,MAINT-76-001,DPP-76-002,Active
PROP-76-003,FADEC Channel A R1,76,REQ-76-001,95-70-76-002,95-70-76-004,TEST-76-001,CERT-76-001,OPS-76-001,MAINT-76-001,DPP-76-003,Active
PROP-76-004,FADEC Channel B R1,76,REQ-76-001,95-70-76-002,95-70-76-004,TEST-76-001,CERT-76-001,OPS-76-001,MAINT-76-001,DPP-76-004,Active
PROP-76-005,Hybrid Control Unit L1,76,REQ-76-002,95-70-76-002,95-70-76-004,TEST-76-002,CERT-76-002,OPS-76-002,MAINT-76-002,DPP-76-005,Active
PROP-76-006,Hybrid Control Unit R1,76,REQ-76-002,95-70-76-002,95-70-76-004,TEST-76-002,CERT-76-002,OPS-76-002,MAINT-76-002,DPP-76-006,Active
PROP-76-007,NN Optimization Module,76,REQ-76-003,95-70-76-004,95-20-70,TEST-76-003,CERT-76-003,OPS-76-003,MAINT-76-003,DPP-76-007,Active
PROP-77-001,EGT Sensor Array L1,77,REQ-77-001,95-70-77-002,95-70-77-004,TEST-77-001,CERT-77-001,OPS-77-001,MAINT-77-001,DPP-77-001,Active
PROP-77-002,EGT Sensor Array R1,77,REQ-77-001,95-70-77-002,95-70-77-004,TEST-77-001,CERT-77-001,OPS-77-001,MAINT-77-001,DPP-77-002,Active
PROP-77-003,Health Monitoring System,77,REQ-77-002,95-70-77-003,95-70-77-004,TEST-77-002,CERT-77-002,OPS-77-002,MAINT-77-002,DPP-77-003,Active
PROP-78-001,Exhaust Nozzle L1,78,REQ-78-001,95-70-78-002,95-70-78-004,TEST-78-001,CERT-78-001,OPS-78-001,MAINT-78-001,DPP-78-001,Active
PROP-78-002,Exhaust Nozzle R1,78,REQ-78-001,95-70-78-002,95-70-78-004,TEST-78-001,CERT-78-001,OPS-78-001,MAINT-78-001,DPP-78-002,Active
PROP-78-003,Emissions Sensing System,78,REQ-78-002,95-70-78-003,95-70-78-004,TEST-78-002,CERT-78-002,OPS-78-002,MAINT-78-002,DPP-78-003,Active
PROP-79-001,Oil Tank L1,79,REQ-79-001,95-70-79-002,95-70-79-004,TEST-79-001,CERT-79-001,OPS-79-001,MAINT-79-001,DPP-79-001,Active
PROP-79-002,Oil Tank R1,79,REQ-79-001,95-70-79-002,95-70-79-004,TEST-79-001,CERT-79-001,OPS-79-001,MAINT-79-001,DPP-79-002,Active
PROP-79-003,Oil Pump Assembly L1,79,REQ-79-002,95-70-79-002,95-70-79-004,TEST-79-002,CERT-79-002,OPS-79-002,MAINT-79-002,DPP-79-003,Active
PROP-79-004,Oil Pump Assembly R1,79,REQ-79-002,95-70-79-002,95-70-79-004,TEST-79-002,CERT-79-002,OPS-79-002,MAINT-79-002,DPP-79-004,Active
PROP-79-005,Oil Quality Monitoring,79,REQ-79-003,95-70-79-003,95-70-79-004,TEST-79-003,CERT-79-003,OPS-79-003,MAINT-79-003,DPP-79-005,Active
