NN_System_ID,System_Name,ATA_Chapter,Integration_Point,Data_Flow_Direction,Interface_Type,Update_Rate_Hz,Latency_Req_ms,DAL,Criticality,Safety_Monitor,Fallback_System,Status
NN-95-10-01,Primary Flight Control NN,ATA 27,Flight Control Computer,Bidirectional,AFDX,100,10,A,Catastrophic,Independent_Monitor,Conventional_FCS,Operational
NN-95-11-01,Stability Augmentation,ATA 27,Flight Control Augmentation,Bidirectional,AFDX,100,20,A,Catastrophic,Independent_Monitor,Baseline_Augmentation,Operational
NN-95-12-01,Control Surface Optimization,ATA 27,Actuator Controllers,Output,AFDX,50,30,B,Hazardous,Cross-validation,Manual_Control,Operational
NN-95-13-01,Flutter Detection,ATA 27,Structural Monitoring,Output,ARINC_429,10,50,B,Hazardous,Vibration_Monitor,Alert_Only,Operational
NN-95-14-01,Load Alleviation,ATA 27,Wing Control Surfaces,Output,AFDX,20,40,C,Major,Performance_Check,Standard_Control,Development
NN-95-14-02,Autopilot Augmentation,ATA 22,Autopilot System,Bidirectional,AFDX,10,50,B,Hazardous,AP_Monitor,Conventional_AP,Operational
NN-95-20-01,Vision-Based Navigation,ATA 34,Navigation Computer,Output,AFDX,10,100,B,Hazardous,GPS_Cross-check,GPS_Primary,Testing
NN-95-21-01,GPS-Denied Positioning,ATA 34,Inertial Navigation,Output,AFDX,10,100,B,Hazardous,IMU_Validation,INS_Primary,Development
NN-95-22-01,Sensor Fusion,ATA 31,Data Concentrator,Output,AFDX,100,30,C,Major,Redundant_Sensors,Individual_Sensors,Operational
NN-95-24-01,Collision Avoidance,ATA 34,Traffic Alert System,Output,ARINC_429,1,500,B,Hazardous,TCAS,TCAS_Standalone,Operational
NN-95-28-01,Route Planning,ATA 22,Flight Management System,Output,AFDX,0.1,1000,D,Minor,FMS_Validation,Manual_Planning,Operational
NN-95-29-01,4D Trajectory Management,ATA 22,FMS / ATM Interface,Output,AFDX,1,100,C,Major,FMS_Cross-check,3D_Planning,Testing
NN-95-30-01,Fuel Cell Optimization,ATA 71-73,Fuel Cell Controller,Bidirectional,AFDX,10,100,B,Hazardous,Power_Monitor,PID_Controller,Operational
NN-95-31-01,H2 Flow Management,ATA 28,H2 Fuel System,Bidirectional,AFDX,10,100,B,Hazardous,Flow_Monitor,Manual_Valves,Operational
NN-95-32-01,Thermal Management,ATA 21,Cooling System,Output,AFDX,1,200,C,Major,Temp_Monitor,Thermostat,Operational
NN-95-33-01,Power Distribution Prediction,ATA 24,Electrical System,Output,AFDX,10,200,C,Major,Load_Monitor,Static_Distribution,Testing
NN-95-34-01,Startup Optimization,ATA 80,Starting System,Output,AFDX,1,500,C,Major,Startup_Monitor,Standard_Sequence,Development
NN-95-40-01,Structural Health Monitoring,ATA 53,Structural Sensors,Input,AFDX,10,1000,C,Major,Manual_Inspection,Scheduled_Inspection,Testing
NN-95-41-01,System Anomaly Detection,ATA 45,Maintenance Computer,Output,AFDX,1,5000,C,Major,Built-in-Test,Manual_Diagnosis,Operational
NN-95-42-01,Predictive Maintenance,ATA 45,Maintenance Planning,Output,AFDX,0.001,10000,D,Minor,Historical_Data,Time-Based_Mx,Operational
NN-95-43-01,Vibration Analysis,ATA 18,Vibration Sensors,Input,AFDX,100,1000,C,Major,FFT_Analysis,Threshold_Alerts,Testing
NN-95-44-01,Sensor Validation,ATA 31,All Sensors,Bidirectional,AFDX,100,50,C,Major,Redundant_Sensors,Individual_Validation,Operational
