Requirement_ID,Requirement_Text,Criticality,DAL,Rationale,Verification_Method,Status,Parent_Requirement,Derived_Requirements
SAF-95-001,NN failure shall not prevent safe flight and landing,Catastrophic,A,Single point of failure is unacceptable for flight safety,Fault injection testing + FMEA,Verified,,SAF-95-001-01 through SAF-95-001-05
SAF-95-001-01,Dual-redundant neural processors for DAL A systems,Critical,A,Eliminates single point of failure,Hardware inspection + testing,Verified,SAF-95-001,
SAF-95-001-02,Cross-channel comparison with disagreement detection,Critical,A,Detects failures in redundant channels,Functional testing,Verified,SAF-95-001,
SAF-95-001-03,Independent safety monitor using conventional algorithms,Critical,A,Provides independent verification,Architecture review + testing,Verified,SAF-95-001,
SAF-95-001-04,Automatic fallback to conventional system on NN failure,Critical,A,Ensures continued operation after failure,Fault scenario testing,Verified,SAF-95-001,
SAF-95-001-05,Failure annunciation to crew within 1 second,Critical,A,Crew awareness of system state,Timing measurement,Verified,SAF-95-001,
SAF-95-002,Runtime monitoring for all DAL A/B/C NN systems,Critical,A/B/C,Continuous validation of NN operation,Monitoring system testing,Verified,,SAF-95-002-01 through SAF-95-002-04
SAF-95-002-01,Confidence monitoring with thresholds per DAL,High,A/B/C,Detect low confidence predictions,Confidence calibration testing,Verified,SAF-95-002,
SAF-95-002-02,OOD detection for all NN inputs,High,A/B/C,Prevent unpredictable behavior outside training distribution,OOD detection coverage testing,Verified,SAF-95-002,
SAF-95-002-03,Performance metrics tracked in real-time,High,A/B/C,Detect degradation trends,Performance monitoring testing,Verified,SAF-95-002,
SAF-95-002-04,Anomaly detection for unusual NN behavior,High,A/B/C,Identify unexpected NN outputs,Anomaly detection testing,Verified,SAF-95-002,
SAF-95-003,Manual override always available to crew,Catastrophic,All,Human authority must be preserved,Override testing + PIL simulation,Verified,,SAF-95-003-01 through SAF-95-003-03
SAF-95-003-01,Override activation time less than 2 seconds,Critical,All,Crew must be able to respond quickly,Timing measurement,Verified,SAF-95-003,
SAF-95-003-02,Clear indication of override status,High,All,Crew awareness of system mode,Display testing,Verified,SAF-95-003,
SAF-95-003-03,Override maintains aircraft in safe state,Catastrophic,All,No transients during mode transition,Transition testing,Verified,SAF-95-003,
SAF-95-004,Graceful degradation to conventional systems,Critical,A/B,Performance degrades smoothly not catastrophically,Degradation scenario testing,Verified,,SAF-95-004-01 through SAF-95-004-03
SAF-95-004-01,Multi-level degradation modes defined,High,A/B,Gradual authority reduction,Architecture verification,Verified,SAF-95-004,
SAF-95-004-02,Smooth transitions between degradation levels,High,A/B,No abrupt changes,Transition smoothness testing,Verified,SAF-95-004,
SAF-95-004-03,Crew awareness maintained during degradation,High,A/B,Crew informed of mode changes,Display + alert testing,Verified,SAF-95-004,
