Signal_Name,Label,Bit_Range,Type,Units,Range,Update_Rate_Hz,SSM,Description
DOOR_POS_STATE,250,11-12,Discrete,-,0-3,2,NO,Door position state (0=closed 1=transit 2=open 3=fault)
DOOR_LOCKED,250,13,Discrete,-,0-1,2,NO,Lock status (0=unlocked 1=locked)
DOOR_SLIDE_ARMED,250,14,Discrete,-,0-1,2,NO,Slide armed status (0=disarmed 1=armed)
DOOR_POS_ANALOG,250,15-18,BNR,%,0-100,10,NO,Analog position 0-15 maps to 0-100%
DOOR_FAULT_CODE,250,19-22,Discrete,-,0-15,2,NO,Fault code identifier
DOOR_CMD_OPEN,251,11,Discrete,-,0-1,Event,NO,Command to open door
DOOR_CMD_CLOSE,251,12,Discrete,-,0-1,Event,NO,Command to close door
DOOR_CMD_LOCK,251,13,Discrete,-,0-1,Event,NO,Command to engage locks
DOOR_CMD_UNLOCK,251,14,Discrete,-,0-1,Event,NO,Command to release locks
DOOR_SEAL_INFLATE,251,15,Discrete,-,0-1,Event,NO,Command to inflate seal
DOOR_SEAL_DEFLATE,251,16,Discrete,-,0-1,Event,NO,Command to deflate seal
DOOR_CYCLE_COUNT,252,11-20,BCD,cycles,0-10230,1,NO,Total door operations (x10)
DOOR_MAX_TEMP,252,21-24,BCD,degC,0-150,1,NO,Maximum temperature recorded (x10)
DOOR_FAULT_COUNT,252,25-28,BNR,count,0-15,1,NO,Number of faults logged
DOOR_MOTOR_CURRENT,253,11-20,BNR,amps,0-30,10,NO,Motor current draw
DOOR_MOTOR_TEMP,253,21-28,BNR,degC,-55-150,1,NO,Motor temperature
DOOR_CTRL_TEMP,254,11-18,BNR,degC,-55-85,1,NO,Controller temperature
DOOR_SEAL_PRESSURE,254,19-26,BNR,psi,0-25,1,NO,Seal inflation pressure
DOOR_VOLTAGE,255,11-18,BNR,volts,0-32,10,NO,Supply voltage
DOOR_LATCH_1_STATUS,256,11,Discrete,-,0-1,2,NO,Latch 1 engaged (0=no 1=yes)
DOOR_LATCH_2_STATUS,256,12,Discrete,-,0-1,2,NO,Latch 2 engaged
DOOR_LATCH_3_STATUS,256,13,Discrete,-,0-1,2,NO,Latch 3 engaged
DOOR_LATCH_4_STATUS,256,14,Discrete,-,0-1,2,NO,Latch 4 engaged
DOOR_LATCH_5_STATUS,256,15,Discrete,-,0-1,2,NO,Latch 5 engaged
DOOR_LATCH_6_STATUS,256,16,Discrete,-,0-1,2,NO,Latch 6 engaged
DOOR_LATCH_7_STATUS,256,17,Discrete,-,0-1,2,NO,Latch 7 engaged
DOOR_LATCH_8_STATUS,256,18,Discrete,-,0-1,2,NO,Latch 8 engaged
DOOR_OPERATION_TIME,257,11-20,BNR,seconds,0-60,10,NO,Time for last operation
DOOR_AJAR_WARNING,258,11,Discrete,-,0-1,2,FW,Door not fully closed warning
DOOR_UNLOCK_CAUTION,258,12,Discrete,-,0-1,2,FW,Door unlocked caution
DOOR_OPEN_WARNING,258,13,Discrete,-,0-1,2,FW,Door open in flight warning
