Parameter,Requirement,Value,Units,Test_Method,Status
Operating_Temperature_Min,CS-25.1523,-55,degC,Cold_chamber_test,Verified
Operating_Temperature_Max,CS-25.1523,+85,degC,Hot_chamber_test,Verified
Cabin_Temperature_Normal,CS-25.831,+18_to_+27,degC,Operational,Standard
Cabin_Pressure_Max_Differential,CS-25.365,9.1,psi,Pressure_test,Verified
Cabin_Pressure_Normal,CS-25.841,8.5,psi,Operational,Standard
Seal_Leak_Rate_Max,CS-25.783,0.05,CFM,Leak_test,Verified
Humidity_Range,Operating,10-90,%RH,Humidity_chamber,Verified
Altitude_Max,Service_ceiling,45000,feet,Pressure_equivalent,Design
Rain_Intensity_Max,DO-160G_Section_24,100,mm/hr,Water_spray,Verified
Wind_Speed_Ground_Max,Operations,65,knots,Load_test,Design
Ice_Formation_Temp_Range,Icing_conditions,-40_to_0,degC,Ice_chamber,Pending
Solar_Radiation_Max,DO-160G_Section_5,1120,W/m2,Solar_simulation,Pending
Temperature_Shock_Rate,DO-160G_Section_5,20,degC/min,Thermal_shock,Pending
Condensation_Prevention,Design_requirement,None,N/A,Visual_inspection,Design
Moisture_Ingress,Seal_effectiveness,Zero,ml/hr,Water_spray,Verified
Salt_Fog_Exposure,DO-160G_Section_11,Pass,N/A,Salt_spray,Scheduled
Fungus_Resistance,DO-160G_Section_13,Pass,N/A,Fungus_test,Scheduled
UV_Exposure,DO-160G_Section_5,Pass,N/A,UV_chamber,Scheduled
Ozone_Exposure,CS-25.832,0.5,ppm,Ozone_chamber,Scheduled
Smoke_Density_Max,FAR_25.853,<200,Specific_optical_density,Smoke_test,Verified
Flammability_Rating,FAR_25.853,Pass,N/A,Vertical_burn,Verified
Heat_Release_Max,OSU_65/65,<65,kW-min/m2,Calorimeter,Verified
Smoke_Release_Max,OSU_65/65,<100,N/A,OSU_test,Verified
Fire_Penetration_Resistance,FAR_25.856,>15,minutes,Fire_test,Scheduled
Lightning_Strike_Zone,DO-160G_Section_23,Zone_2A,N/A,Direct_effects,Verified
EMI_Susceptibility,DO-160G_Category_M,Pass,N/A,Radiated_EMI,Verified
Vibration_Category,DO-160G_Section_8,Category_B,N/A,Sine_and_random,Scheduled
Shock_Category,DO-160G_Section_7,Category_B,N/A,Impact_shock,Scheduled
Acoustic_Noise_Max,Interior,<75,dBA,Sound_level_meter,Design
Explosion_Resistance,Rapid_depressurization,Pass,N/A,Pressure_shock,Scheduled
Toxic_Fumes,Emergency_condition,None,N/A,Material_analysis,Verified
Corrosion_Resistance,MIL-STD-810,Pass,N/A,Salt_spray_1000hr,Scheduled
Sand_Dust,DO-160G_Section_12,Pass,N/A,Sand_dust_test,Scheduled
