Load_Case,Interface,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,Notes
Operating_Pressure,Hinge_1,5.0,2.0,15.0,2.5,0.5,1.0,8.5_psi_differential_pressure
Operating_Pressure,Hinge_2,5.0,2.0,15.0,2.5,0.5,1.0,8.5_psi_differential_pressure
Operating_Pressure,Hinge_3,5.0,2.0,15.0,2.5,0.5,1.0,8.5_psi_differential_pressure
Operating_Pressure,Latch_TOP-1,0,10.0,0,0,0,0,Typical_perimeter_latch
Operating_Pressure,Latch_TOP-2,0,10.0,0,0,0,0,Typical_perimeter_latch
Operating_Pressure,Latch_TOP-3,0,10.0,0,0,0,0,Typical_perimeter_latch
Operating_Pressure,Latch_FWD,0,10.0,0,0,0,0,Typical_perimeter_latch
Operating_Pressure,Latch_AFT,0,10.0,0,0,0,0,Typical_perimeter_latch
Operating_Pressure,Latch_BTM-1,0,10.0,0,0,0,0,Typical_perimeter_latch
Operating_Pressure,Latch_BTM-2,0,10.0,0,0,0,0,Typical_perimeter_latch
Operating_Pressure,Latch_BTM-3,0,10.0,0,0,0,0,Typical_perimeter_latch
Ultimate_Pressure,Hinge_1,10.0,4.0,30.0,5.0,1.0,2.0,17.0_psi_ultimate_pressure
Ultimate_Pressure,Hinge_2,10.0,4.0,30.0,5.0,1.0,2.0,17.0_psi_ultimate_pressure
Ultimate_Pressure,Hinge_3,10.0,4.0,30.0,5.0,1.0,2.0,17.0_psi_ultimate_pressure
Ultimate_Pressure,Latch_TOP-1,0,20.0,0,0,0,0,Ultimate_latch_load
Ultimate_Pressure,Latch_TOP-2,0,20.0,0,0,0,0,Ultimate_latch_load
Ultimate_Pressure,Latch_TOP-3,0,20.0,0,0,0,0,Ultimate_latch_load
Ultimate_Pressure,Latch_FWD,0,20.0,0,0,0,0,Ultimate_latch_load
Ultimate_Pressure,Latch_AFT,0,20.0,0,0,0,0,Ultimate_latch_load
Ultimate_Pressure,Latch_BTM-1,0,20.0,0,0,0,0,Ultimate_latch_load
Ultimate_Pressure,Latch_BTM-2,0,20.0,0,0,0,0,Ultimate_latch_load
Ultimate_Pressure,Latch_BTM-3,0,20.0,0,0,0,0,Ultimate_latch_load
Emergency_Landing_Forward,All_Interfaces,16g,0,0,0,0,0,CS25.561_emergency_landing
Emergency_Landing_Lateral,All_Interfaces,0,3g,0,0,0,0,CS25.561_emergency_landing
Emergency_Landing_Vertical,All_Interfaces,0,0,9g,0,0,0,CS25.561_emergency_landing
Bird_Strike,Door_Panel_Center,0,4.0,0,0,0,0,1.8kg_bird_at_230kts_per_CS25.631
Gust_Load,Hinge_1,2.0,1.0,5.0,1.0,0.3,0.5,66fps_gust_at_cruise
Gust_Load,Hinge_2,2.0,1.0,5.0,1.0,0.3,0.5,66fps_gust_at_cruise
Gust_Load,Hinge_3,2.0,1.0,5.0,1.0,0.3,0.5,66fps_gust_at_cruise
Door_Operation_Opening,Hinge_1,0.5,0.2,2.0,0.5,0.1,0.2,Power_assist_opening
Door_Operation_Opening,Hinge_2,0.5,0.2,2.0,0.5,0.1,0.2,Power_assist_opening
Door_Operation_Opening,Hinge_3,0.5,0.2,2.0,0.5,0.1,0.2,Power_assist_opening
Door_Operation_Closing,Hinge_1,0.8,0.3,3.0,0.8,0.2,0.3,Power_assist_closing
Door_Operation_Closing,Hinge_2,0.8,0.3,3.0,0.8,0.2,0.3,Power_assist_closing
Door_Operation_Closing,Hinge_3,0.8,0.3,3.0,0.8,0.2,0.3,Power_assist_closing
Temperature_Expansion,Seal_Interface,0,0.5,0,0,0,0,Thermal_expansion_differential
Ice_Bridging,Seal_Perimeter,0,2.0,0,0,0,0,Ice_buildup_on_seal
Wind_Load_Ground,Door_Panel,0,8.0,0,0,2.0,0,65kt_ground_wind_door_open
