ICD_Number,Interface_Type,System_1,System_2,Status,Owner,Critical,Last_Update
ICD-52-53-001,Structural,ATA_52_Door,ATA_53_Fuselage,Released,A.Pelliccia,Yes,2025-11-03
ICD-52-53-002,Structural,ATA_52_Door,ATA_53_Frame,Draft,A.Pelliccia,Yes,2025-11-03
ICD-52-53-003,Structural,ATA_52_Door,ATA_53_Hinge,Released,A.Pelliccia,Yes,2025-11-03
ICD-52-53-004,Structural,ATA_52_Door,ATA_53_Latch,Released,A.Pelliccia,Yes,2025-11-03
ICD-52-53-005,Structural,ATA_52_Door,ATA_53_Seal,Draft,A.Pelliccia,No,2025-11-03
ICD-52-24-001,Electrical,ATA_52_Door,ATA_24_Power,Released,A.Pelliccia,Yes,2025-11-03
ICD-52-36-001,Pneumatic,ATA_52_Door,ATA_36_Pneumatic,Draft,TBD,No,2025-11-03
ICD-52-29-001,Hydraulic,ATA_52_Door,ATA_29_Hydraulic,Conceptual,TBD,No,2025-11-03
ICD-52-31-001,Systems,ATA_52_Door,ATA_31_Indication,Draft,A.Pelliccia,Yes,2025-11-03
ICD-52-33-001,Systems,ATA_52_Door,ATA_33_Lighting,Draft,A.Pelliccia,No,2025-11-03
ICD-52-42-001,Avionics,ATA_52_Door,ATA_42_IMA,Draft,A.Pelliccia,Yes,2025-11-03
ICD-52-23-001,Data,ATA_52_Door,ATA_23_ARINC429,Released,A.Pelliccia,Yes,2025-11-03
ICD-52-46-001,Digital,ATA_52_Door,ATA_46_CAOS,Conceptual,A.Pelliccia,No,2025-11-03
ICD-52-25-001,Interior,ATA_52_Door,ATA_25_Cabin,Draft,TBD,No,2025-11-03
ICD-52-44-001,Interior,ATA_52_Door,ATA_44_Cabin_Systems,Draft,TBD,No,2025-11-03
ICD-52-85-001,Emergency,ATA_52_Door,ATA_52_Slide,Released,A.Pelliccia,Yes,2025-11-03
ICD-52-GSE-001,Ground,ATA_52_Door,GSE_Jetway,Released,A.Pelliccia,No,2025-11-03
ICD-52-GSE-002,Ground,ATA_52_Door,GSE_Catering,Draft,TBD,No,2025-11-03
ICD-52-GSE-003,Ground,ATA_52_Door,GSE_Ground_Power,Draft,TBD,No,2025-11-03
ICD-52-21-001,Environmental,ATA_52_Door,ATA_21_ECS,Draft,TBD,Yes,2025-11-03
ICD-52-26-001,Environmental,ATA_52_Door,ATA_26_Fire_Protection,Draft,TBD,Yes,2025-11-03
ICD-52-30-001,Environmental,ATA_52_Door,ATA_30_Ice_Protection,Conceptual,TBD,No,2025-11-03
