Analysis_ID,Discipline,Description,Method,AI_Tool,Date,Status,Confidence,Validation_Required,Risk_Level
CALC-52-10-01-STR-001,Structural,Pressure Loads,Classical_Mechanics,Claude_3.5,2025-11-03,Draft,Low,FEA_Testing,Medium
CALC-52-10-01-STR-002,Structural,Panel Stress,Plate_Theory,Claude_3.5,2025-11-03,Draft,Low,FEA_Testing,Medium
CALC-52-10-01-STR-003,Structural,Hinge Loads,Static_Equilibrium,Claude_3.5,2025-11-03,Draft,Low,Testing,Medium
CALC-52-10-01-STR-004,Structural,Latch Loads,Force_Distribution,Claude_3.5,2025-11-03,Draft,Low,Testing,Medium
CALC-52-10-01-STR-005,Structural,Composite Laminate,CLT,Claude_3.5,2025-11-03,Draft,Low,FEA_Testing,High
CALC-52-10-01-STR-006,Structural,Core Shear,Sandwich_Theory,Claude_3.5,2025-11-03,Draft,Low,Testing,Medium
CALC-52-10-01-STR-007,Structural,Edge Bands,Bearing_Analysis,Claude_3.5,2025-11-03,Draft,Low,Testing,Medium
CALC-52-10-01-FAT-001,Fatigue,SN Curve Analysis,Fatigue_Theory,Claude_3.5,2025-11-03,Draft,Very_Low,Testing,High
CALC-52-10-01-FAT-002,Fatigue,Spectrum Development,Load_History,Claude_3.5,2025-11-03,Draft,Very_Low,Flight_Data,High
CALC-52-10-01-FAT-003,Fatigue,Crack Growth,Paris_Law,Claude_3.5,2025-11-03,Draft,Very_Low,Testing,High
CALC-52-10-01-FAT-004,Fatigue,Inspection Intervals,Damage_Tolerance,Claude_3.5,2025-11-03,Draft,Very_Low,DER_Approval,Critical
CALC-52-10-01-FAT-005,Fatigue,Damage Scenarios,Failure_Modes,Claude_3.5,2025-11-03,Draft,Very_Low,Analysis,High
CALC-52-10-01-DYN-001,Dynamic,Natural Frequency,Rayleigh_Ritz,Claude_3.5,2025-11-03,Draft,Low,GVT,Critical
CALC-52-10-01-DYN-002,Dynamic,Mode Shapes,Modal_Analysis,Claude_3.5,2025-11-03,Draft,Very_Low,GVT,High
CALC-52-10-01-DYN-003,Dynamic,Resonance Risk,Frequency_Comparison,Claude_3.5,2025-11-03,Draft,Low,GVT,Critical
CALC-52-10-01-DYN-004,Dynamic,Damping Requirements,Vibration_Theory,Claude_3.5,2025-11-03,Draft,Low,Testing,High
CALC-52-10-01-WGT-001,Weight,Mass Breakdown,Density_Calculation,Claude_3.5,2025-11-03,Draft,Medium,Weighing,Low
CALC-52-10-01-WGT-002,Weight,CG Location,Moment_Analysis,Claude_3.5,2025-11-03,Draft,Medium,Weighing,Low
CALC-52-10-01-WGT-003,Weight,Inertia Properties,MOI_Calculation,Claude_3.5,2025-11-03,Draft,Low,Testing,Medium
CALC-52-10-01-THM-001,Thermal,Temperature Range,Environmental_Spec,Standards,2025-11-03,Draft,High,Testing,Low
CALC-52-10-01-THM-002,Thermal,Thermal Expansion,CTE_Analysis,Claude_3.5,2025-11-03,Draft,Medium,Testing,Medium
CALC-52-10-01-THM-003,Thermal,Seal Performance,Compression_Set,Claude_3.5,2025-11-03,Draft,Low,Testing,Medium
CALC-52-10-01-MEC-001,Mechanisms,Kinematics,Geometry,Claude_3.5,2025-11-03,Draft,Medium,Prototype,Low
CALC-52-10-01-MEC-002,Mechanisms,Actuation Forces,Force_Balance,Claude_3.5,2025-11-03,Draft,Low,Testing,Medium
CALC-52-10-01-MEC-003,Mechanisms,Manual Override,Human_Factors,Claude_3.5,2025-11-03,Draft,Medium,Testing,High
TS-001,Trade_Study,Material Selection,Multi_Criteria,Claude_3.5,2025-11-03,Draft,Medium,Review,Low
TS-002,Trade_Study,Core Density Trade,Performance_Cost,Claude_3.5,2025-11-03,Draft,Medium,Review,Low
TS-003,Trade_Study,Face Sheet Thickness,Optimization,Claude_3.5,2025-11-03,Draft,Low,Analysis,Medium
TS-004,Trade_Study,Lightning Protection,Requirements,Claude_3.5,2025-11-03,Draft,Medium,Testing,High
PRED-001,Performance,Leak Rate,Pressure_Test,Claude_3.5,2025-11-03,Draft,Low,Testing,High
PRED-002,Performance,Operation Time,Mechanism_Analysis,Claude_3.5,2025-11-03,Draft,Medium,Testing,Low
PRED-003,Performance,Reliability,FMEA,Claude_3.5,2025-11-03,Draft,Low,Analysis,Medium
