Test_Category,Test_Item,Requirement,Acceptance_Criterion,Status,Result,Date
Structural,Static_Ultimate,TP-001,No_failure_at_17psi_3sec,Not_Tested,-,-
Structural,Proof_Pressure,TP-002,No_permanent_deformation,Not_Tested,-,-
Structural,Fatigue_120k,TP-003,No_cracks_after_120k_cycles,Not_Tested,-,-
Structural,Damage_Tolerance,TP-004,Sustain_limit_load_with_50mm_hole,Not_Tested,-,-
Structural,GVT_Modal,TP-005,Mode_1_damping_>=3.0%,Not_Tested,-,-
Functional,Emergency_Opening_Inside,TP-010,Opening_time_<=15_seconds,Not_Tested,-,-
Functional,Emergency_Opening_Outside,TP-010,Opening_time_<=15_seconds,Not_Tested,-,-
Functional,Manual_Opening_Force,TP-010,Force_<=220N,Not_Tested,-,-
Functional,Slide_Deployment,TP-010,Deployment_<=6_seconds,Not_Tested,-,-
Functional,Pressure_Interlock,TP-010,No_opening_above_1psi,Not_Tested,-,-
Functional,Warning_System,TP-010,Activation_<1_second,Not_Tested,-,-
Functional,Latch_Engagement,TP-010,All_8_latches_100%_reliable,Not_Tested,-,-
Functional,Seal_Inflation,TP-010,Inflation_<30_seconds,Not_Tested,-,-
Functional,Cyclic_Durability,TP-010,50_cycles_no_degradation,Not_Tested,-,-
Functional,Leak_Rate,TP-002,<0.05_CFM_at_8.5psi,Not_Tested,-,-
Environmental,Low_Temperature,TP-009,Operation_at_minus40C,Not_Tested,-,-
Environmental,High_Temperature,TP-009,Operation_at_plus55C,Not_Tested,-,-
Environmental,Thermal_Cycling,TP-009,100_cycles_no_damage,Not_Tested,-,-
Environmental,Humidity,TP-009,10_days_95%RH_no_degradation,Not_Tested,-,-
Environmental,Lightning_Strike,TP-006,Survive_200kA_Zone1A,Not_Tested,-,-
Environmental,Bird_Strike,TP-007,No_penetration_1.8kg_230kts,Not_Tested,-,-
Environmental,Fire_Resistance,TP-008,15min_1000C_no_burnthrough,Not_Tested,-,-
