Requirement_ID,Requirement,Verification_Method,Test_ID,Analysis_ID,Status,Evidence,Compliance
RQ-52-10-01-001,Ultimate_17psi,Test,TP-001,CALC-STR-001,Open,None,TBD
RQ-52-10-01-002,Limit_11.33psi,Test,TP-001,CALC-STR-001,Open,None,TBD
RQ-52-10-01-003,Fatigue_120k_cycles,Test,TP-003,CALC-FAT-001,Open,None,TBD
RQ-52-10-01-004,Damage_Tolerance,Test,TP-004,CALC-DAM-001,Open,None,TBD
RQ-52-10-01-005,Lightning_200kA,Test,TP-006,CALC-LTG-001,Open,None,TBD
RQ-52-10-01-011,Lightning_Zone1A,Test,TP-006,-,Open,None,TBD
RQ-52-10-01-012,Bird_Strike_1.8kg,Test,TP-007,-,Open,None,TBD
RQ-52-10-01-015,Fire_15min,Test,TP-008,-,Open,None,TBD
RQ-52-10-01-016,Weight_140kg,Inspection,-,CALC-WGT-001,Partial,AI_estimate_114kg,Likely
RQ-52-10-01-018,No_resonance,Test,TP-005,CALC-DYN-001,Open,None,TBD
RQ-52-10-01-020,Plug_seal,Demo,TP-010,-,Open,None,TBD
RQ-52-10-01-021,Latch_engagement,Demo,TP-010,-,Open,None,TBD
RQ-52-10-01-022,Manual_force_220N,Demo,TP-010,-,Open,None,TBD
RQ-52-10-01-023,Slide_deploy_6s,Demo,TP-010,-,Open,None,TBD
RQ-52-10-01-050,Leak_rate_0.05CFM,Test,TP-002,-,Open,None,TBD
RQ-52-10-01-051,Opening_time_15s,Demo,TP-010,-,Open,None,TBD
RQ-52-10-01-060,Emergency_exit,Demo,TP-010,-,Open,None,TBD
RQ-52-10-01-070,Thermal_minus40C,Test,TP-009,-,Open,None,TBD
RQ-52-10-01-071,Thermal_plus55C,Test,TP-009,-,Open,None,TBD
RQ-52-10-01-100,Pressure_interlock,Demo,TP-010,-,Open,None,TBD
