Phase,Activity,Start_Date,End_Date,Duration_Weeks,Dependencies,Status,Milestone
Q4_2025,Funding_pursuit,2025-10-01,2025-12-31,13,None,ACTIVE,Funding_secured
Q1_2026,FEA_validation,2026-01-01,2026-03-31,13,Funding,Not_Started,Design_validated
Q1_2026,Design_freeze,2026-02-01,2026-03-31,9,FEA_validation,Not_Started,Design_released
Q2_2026,Tooling_fabrication,2026-04-01,2026-07-31,17,Design_freeze,Not_Started,Tooling_complete
Q2_2026,Material_procurement,2026-04-01,2026-06-30,13,Design_freeze,Not_Started,Materials_received
Q2_2026,Coupon_testing,2026-05-01,2026-06-30,9,Material_procurement,Not_Started,Properties_validated
Q3_2026,PROTO-001_manufacture,2026-07-01,2026-09-30,13,Tooling_fabrication,Not_Started,EDU_complete
Q3_2026,GVT_testing,2026-09-01,2026-09-30,4,PROTO-001_manufacture,Not_Started,GO_NO_GO_decision
Q4_2026,Structural_testing,2026-10-01,2026-12-31,13,GVT_testing,Not_Started,Strength_validated
Q4_2026,PROTO-002_start,2026-11-01,2026-12-31,9,Structural_testing,Not_Started,Qual_unit_started
Q1_2027,Qualification_testing,2027-01-01,2027-03-31,13,PROTO-002_start,Not_Started,Certification_data
Q2_2027,PROTO-003_flight_article,2027-04-01,2027-06-30,13,Qualification_testing,Not_Started,Flight_article_complete
Q3_2027,Ground_tests_complete,2027-07-01,2027-09-30,13,PROTO-003_flight_article,Not_Started,Ready_for_flight
Q4_2027,First_flight,2027-10-01,2027-12-31,13,Ground_tests_complete,Not_Started,Flight_test_complete
