Year,Month,Units_Target,Cumulative_Units,Phase,Shifts,Labor_Hours_per_Unit,Total_Labor_Hours
2026,Q4,0.5,0.5,Prototype,1,52,26
2027,Q1,1,1.5,LRIP_Ramp,1,48,48
2027,Q2,2,3.5,LRIP,1,45,90
2027,Q3,2,5.5,LRIP,1,42,84
2027,Q4,2,7.5,LRIP,1,40,80
2028,Q1,4,11.5,FRP_Ramp,1.5,38,152
2028,Q2,6,17.5,FRP_Ramp,2,36,216
2028,Q3,8,25.5,FRP,2,34,272
2028,Q4,8,33.5,FRP,2,32,256
2029,Q1,8,41.5,Steady_State,2,30,240
2029,Q2,8,49.5,Steady_State,2,30,240
2029,Q3,8,57.5,Steady_State,2,30,240
2029,Q4,8,65.5,Steady_State,2,30,240
