WBS_Code,Task_Name,Duration_Days,Labor_Hours,Skill_Level,Dependencies,Cost_USD
1.0,Material_Receiving,0.5,4,Basic,None,120
1.1,Inspect_Incoming_Materials,0.25,2,Basic,None,60
1.2,Store_Materials,0.25,2,Basic,1.1,60
2.0,Kitting_and_Cutting,1,8,Intermediate,1.0,240
2.1,Thaw_Prepreg,0.5,1,Basic,1.2,30
2.2,Cut_Plies,0.5,4,Intermediate,2.1,120
2.3,Cut_Core,0.25,2,Intermediate,2.1,60
2.4,Kit_Hardware,0.25,1,Basic,2.1,30
3.0,Composite_Layup,2,16,Advanced,2.0,640
3.1,Tool_Preparation,0.25,1,Intermediate,2.0,30
3.2,Outer_Face_Layup,0.75,6,Advanced,3.1,240
3.3,Core_Placement,0.5,4,Advanced,3.2,160
3.4,Inner_Face_Layup,0.75,6,Advanced,3.3,240
4.0,Vacuum_Bagging,0.5,4,Intermediate,3.0,120
4.1,Apply_Consumables,0.25,2,Intermediate,3.0,60
4.2,Install_Bag,0.25,2,Intermediate,4.1,60
4.3,Leak_Check,0.125,1,Intermediate,4.2,30
5.0,Autoclave_Cure,1,2,Basic,4.0,2060
5.1,Transport_to_Autoclave,0.125,0.5,Basic,4.0,15
5.2,Load_Autoclave,0.125,0.5,Basic,5.1,15
5.3,Run_Cure_Cycle,0.5,0.5,Basic,5.2,2000
5.4,Unload_and_Return,0.125,0.5,Basic,5.3,30
6.0,Post_Cure_Inspection,0.75,6,Advanced,5.0,800
6.1,Remove_Bag_Materials,0.125,1,Basic,5.0,30
6.2,Visual_Inspection,0.25,2,Advanced,6.1,100
6.3,Dimensional_Check,0.25,2,Advanced,6.1,100
6.4,NDT_C-Scan,0.25,2,Advanced,6.2,570
7.0,Trimming_and_Drilling,1,8,Advanced,6.0,320
7.1,CNC_Trim_Edges,0.5,4,Advanced,6.0,160
7.2,Drill_Holes,0.25,2,Advanced,7.1,80
7.3,Install_Inserts,0.25,2,Advanced,7.2,80
8.0,Mechanism_Assembly,1.5,12,Intermediate,7.0,360
8.1,Install_Hinges,0.5,4,Intermediate,7.0,120
8.2,Install_Latches,0.5,4,Intermediate,8.1,120
8.3,Install_Seals,0.25,2,Intermediate,8.2,60
8.4,Electrical_Connections,0.25,2,Advanced,8.3,80
9.0,Painting,1,4,Intermediate,8.0,320
9.1,Surface_Prep,0.25,1,Intermediate,8.0,30
9.2,Prime_and_Paint,0.5,2,Intermediate,9.1,160
9.3,Paint_Cure,0.5,0.5,Basic,9.2,15
9.4,Apply_Markings,0.25,1,Intermediate,9.3,45
10.0,Final_Test_Inspection,0.75,6,Advanced,9.0,300
10.1,Dimensional_Verification,0.25,2,Advanced,9.0,100
10.2,Function_Tests,0.25,2,Advanced,10.1,100
10.3,Leak_Test,0.125,1,Advanced,10.2,50
10.4,Final_QC_Signoff,0.125,1,Advanced,10.3,50
11.0,Package_and_Ship,0.5,4,Basic,10.0,120
11.1,Install_Protection,0.25,2,Basic,10.0,60
11.2,Pack_Documentation,0.125,1,Basic,11.1,30
11.3,Crate_and_Ship,0.25,2,Basic,11.2,60
TOTAL,Complete_Door_Assembly,12,86,Mixed,All,5400
