Month,Units_Planned,Units_Actual,Start_Date,Complete_Date,Status,Notes
2026-10,0.5,TBD,2026-10-01,2026-10-31,Planned,First_prototype
2026-11,0,TBD,N/A,N/A,Planned,Validation_testing
2026-12,0,TBD,N/A,N/A,Planned,Process_refinement
2027-01,1,TBD,2027-01-01,2027-01-31,Planned,LRIP_start
2027-02,1,TBD,2027-02-01,2027-02-28,Planned,LRIP
2027-03,1,TBD,2027-03-01,2027-03-31,Planned,LRIP
2027-04,2,TBD,2027-04-01,2027-04-30,Planned,LRIP
2027-05,2,TBD,2027-05-01,2027-05-31,Planned,LRIP
2027-06,2,TBD,2027-06-01,2027-06-30,Planned,LRIP
2027-07,2,TBD,2027-07-01,2027-07-31,Planned,LRIP
2027-08,2,TBD,2027-08-01,2027-08-31,Planned,LRIP
2027-09,2,TBD,2027-09-01,2027-09-30,Planned,LRIP
2027-10,2,TBD,2027-10-01,2027-10-31,Planned,LRIP
2027-11,2,TBD,2027-11-01,2027-11-30,Planned,LRIP
2027-12,2,TBD,2027-12-01,2027-12-31,Planned,LRIP
2028-01,4,TBD,2028-01-01,2028-01-31,Planned,FRP_ramp
2028-02,4,TBD,2028-02-01,2028-02-29,Planned,FRP_ramp
2028-03,6,TBD,2028-03-01,2028-03-31,Planned,FRP_ramp
2028-04,6,TBD,2028-04-01,2028-04-30,Planned,FRP_ramp
2028-05,8,TBD,2028-05-01,2028-05-31,Planned,FRP_target
2028-06,8,TBD,2028-06-01,2028-06-30,Planned,FRP
