Tool_ID,Tool_Name,Type,Qty,Unit_Cost_USD,Lead_Time_Weeks,Supplier,Status,Criticality
MOLD-001,Cure_Mold_Assembly,Composite_Cure,1,250000,16,TBD,Not_Ordered,CRITICAL
FIX-001,Assembly_Fixture_Main,Assembly,1,50000,10,TBD,Not_Ordered,HIGH
FIX-002,Trim_Fixture,Machining,1,30000,6,TBD,Not_Ordered,HIGH
FIX-003,Drill_Template_Set,Drilling,1,20000,6,TBD,Not_Ordered,MEDIUM
TEMP-001,Ply_Cutting_Templates,Layout,1_set,5000,4,TBD,Not_Ordered,HIGH
GAGE-001,Go_NoGo_Gages,Inspection,1_set,3000,4,TBD,Not_Ordered,MEDIUM
LIFT-001,Part_Handling_Sling,Material_Handling,2,2000,4,TBD,Not_Ordered,MEDIUM
CART-001,Transport_Cart,Material_Handling,3,1500,4,TBD,Not_Ordered,LOW
VAC-001,Vacuum_Bagging_Kit,Consumable_Tool,5,500,2,TBD,Not_Ordered,MEDIUM
TOOL-001,Hand_Tool_Set,Hand_Tools,2_sets,3000,2,TBD,Not_Ordered,MEDIUM
CMM-001,CMM_Fixtures,Inspection,1_set,15000,8,TBD,Not_Ordered,HIGH
PAINT-001,Masking_Templates,Painting,1_set,2000,4,TBD,Not_Ordered,LOW
TEST-001,Leak_Test_Fixture,Testing,1,25000,8,TBD,Not_Ordered,HIGH
SPARE-001,Mold_Spare_Parts,Spare,1_kit,25000,16,TBD,Not_Ordered,MEDIUM
TOTAL,All_Tooling,Mixed,Multiple,432000,16,Multiple,Planning,N/A
