CS_Para,Title,Status,Last_Updated,Open_Items,Closed_Items,Notes
CS25.301,Loads,Not_Started,2025-11-03,1,0,Need_FEA
CS25.305,Strength_deformation,Not_Started,2025-11-03,1,0,Test_required_2027
CS25.307,Proof_structure,Not_Started,2025-11-03,1,0,After_ultimate_test
CS25.365,Pressurization,Conceptual,2025-11-03,1,0,AI_estimate_only
CS25.571,Damage_tolerance,Conceptual,2025-11-03,2,0,Fatigue_and_damage
CS25.603,Materials,Partial,2025-11-03,1,0,Need_coupon_tests
CS25.613,Material_strength,Not_Started,2025-11-03,1,0,Test_required
CS25.629,Aeroelastic,Critical,2025-11-03,1,0,GVT_mandatory
CS25.631,Bird_strike,Not_Started,2025-11-03,1,0,Analysis_required
CS25.783,Doors,Not_Started,2025-11-03,2,0,Operation_and_interlock
CS25.807,Emergency_exits,Partial,2025-11-03,0,1,Dimensions_verified
CS25.809,Exit_arrangement,Complete,2025-11-03,0,1,Layout_acceptable
CS25.810,Emergency_egress,Not_Started,2025-11-03,1,0,Demo_required
CS25.812,Emergency_lighting,Not_Started,2025-11-03,1,0,System_integration
CS25.853,Fire_protection,Partial,2025-11-03,1,0,Test_required
CS25.954,Lightning_strike,Not_Started,2025-11-03,1,0,Zone_1A_test
CS25.1301,Function,Not_Started,2025-11-03,1,0,Operation_demo
CS25.1309,System_design,Partial,2025-11-03,1,0,FMEA_draft_done
CS25.1316,Electrical,Not_Started,2025-11-03,1,0,If_applicable
CS25.1419,Ice_protection,Not_Started,2025-11-03,1,0,If_required
CS25.1435,Hydraulics,Not_Started,2025-11-03,1,0,If_hydraulic
