Rule_ID,Category,Description,Severity,Checkpoint,Pass_Criteria,Fail_Action
SR-001,Structure,DMC coding format,Error,Document creation,Matches DMC-AMPEL360-A-XX-YY-ZZ-XXX-XXXC-D,Reject document
SR-002,Structure,Information code alignment,Error,Content review,Code matches content type (000-099/200-799/900-999),Return for correction
SR-003,Structure,Issue number sequence,Error,Version control,Sequential numbering from 001,Reject version
CR-001,Content,Safety warnings present,Warning,Procedure review,All hazards identified with warnings/cautions,Return for safety review
CR-002,Content,CAOS integration documented,Warning,CAOS modules,Integration status and references included,Return for CAOS team review
CR-003,Content,References complete,Warning,Documentation review,Parent system and related docs referenced,Add missing references
QR-001,Quality,Technical review complete,Error,Approval gate,SME sign-off obtained,Cannot release
QR-002,Quality,CAOS data validated,Warning,CAOS modules,Digital twin sync verified and fleet data checked,Return to CAOS team
QR-003,Quality,Periodic review current,Info,Publication date,Review date within 12 months,Schedule review
CAOS-001,CAOS,Integration level specified,Error,CAOS modules,Level documented (Full/Partial/Monitor),Return to CAOS team
CAOS-002,CAOS,Alert thresholds defined,Warning,CAOS modules,All alerts have thresholds and actions,Define thresholds
CAOS-003,CAOS,Sync requirements stated,Warning,CAOS modules,Frequency and criteria documented,Define sync requirements
ATA-001,Compliance,ATA chapter correct,Error,Classification,Matches physical system location,Reclassify
ATA-002,Compliance,14-folder structure,Warning,Organization,Follows standard lifecycle folders,Reorganize
FORMAT-001,Format,Markdown syntax valid,Warning,All documents,Valid markdown formatting,Fix formatting
FORMAT-002,Format,XML well-formed,Error,XML documents,Passes XML validation,Fix XML errors
REF-001,References,Internal links valid,Warning,Hyperlinks,All DMC references exist,Fix broken links
REF-002,References,External refs accessible,Info,External links,External documents accessible,Update or document unavailable
