Part_Number,Description,Criticality,Safety_Impact,Serialization_Required,Traceability_Level,Special_Handling
PN-52-10-01-000000,Door_L1_Complete_Assembly,Critical,Primary_Structure,Yes,Full,Standard
PN-52-10-01-101000,Door_Panel_Assembly,Critical,Primary_Structure,Yes,Full,CFRP_Handling
PN-52-10-01-102000,Frame_Assembly,Critical,Primary_Structure,Yes,Full,Standard
PN-52-10-01-201001,Latch_Hook,Critical,Flight_Safety,Yes,Full,Controlled_Storage
PN-52-10-01-201002,Latch_Pin,Critical,Flight_Safety,Yes,Full,Controlled_Storage
PN-52-10-01-202001,Hinge_Arm,Critical,Flight_Safety,Yes,Full,Controlled_Storage
PN-52-10-01-202002,Hinge_Pin,Critical,Flight_Safety,Yes,Full,Controlled_Storage
PN-52-10-01-203001,Motor_Assembly,Critical,Dispatch_Reliability,Yes,Full,ESD_Protection
PN-52-10-01-203002,Gearbox,Critical,Dispatch_Reliability,Yes,Full,Standard
PN-52-10-01-204001,Primary_Seal,Critical,Pressurization,Yes,Full,Climate_Controlled
PN-52-10-01-302001,Door_Controller,Critical,Flight_Safety,Yes,Full,ESD_Protection
PN-52-10-01-303001,Position_Sensor,Critical,Safety_Monitoring,Yes,Full,ESD_Protection
PN-52-10-01-303002,Pressure_Sensor,Critical,Safety_Monitoring,Yes,Full,ESD_Protection
