Part_Number,Description,Recommended_Qty_Per_Aircraft,Stocking_Level_Fleet,Criticality,Lead_Time_Days,Unit_Cost_EUR,Annual_Usage_Rate
PN-52-10-01-201001,Latch_Hook,2,8,Critical,45,185,0.2
PN-52-10-01-201002,Latch_Pin,2,8,Critical,45,95,0.2
PN-52-10-01-201003,Spring_Assembly,2,12,Essential,30,42,0.5
PN-52-10-01-202001,Hinge_Arm,1,4,Critical,60,520,0.1
PN-52-10-01-202002,Hinge_Pin,1,6,Critical,60,125,0.1
PN-52-10-01-202003,Bushings,2,16,Essential,30,28,0.8
PN-52-10-01-203001,Motor_Assembly,1,3,Critical,90,1850,0.15
PN-52-10-01-203002,Gearbox,1,3,Critical,90,1420,0.15
PN-52-10-01-204001,Primary_Seal,1,8,Essential,30,285,1.2
PN-52-10-01-204002,Secondary_Seal,1,8,Essential,30,145,1.2
PN-52-10-01-301002,Circuit_Breakers,1,6,Essential,45,95,0.3
PN-52-10-01-302001,Door_Controller,1,2,Critical,60,3250,0.08
PN-52-10-01-303001,Position_Sensor,1,4,Critical,45,420,0.25
PN-52-10-01-303002,Pressure_Sensor,1,4,Critical,45,385,0.25
PN-52-10-01-501001,Seal_Lubricant,4,40,Consumable,14,12,12
PN-52-10-01-501002,IPA_Cleaner,4,40,Consumable,7,8,18
PN-52-10-01-501003,Epoxy_Adhesive,2,20,Consumable,14,45,6
