Part_Number,Material,Disposal_Method,Recycling_Rate,Hazmat,Special_Handling,Environmental_Impact,Value_Recovery_EUR
PN-52-10-01-101001,CFRP,Pyrolysis,85%,No,Dust_mask_required,Low,62
PN-52-10-01-101002,CFRP,Pyrolysis,85%,No,Dust_mask_required,Low,62
PN-52-10-01-101003,Nomex,Chemical_Processing,60%,No,Standard,Medium,8
PN-52-10-01-101004,Aluminum,Metal_Recycling,100%,No,Standard,Very_Low,6
PN-52-10-01-102001,Aluminum,Metal_Recycling,100%,No,Standard,Very_Low,28
PN-52-10-01-102002,Aluminum,Metal_Recycling,100%,No,Standard,Very_Low,24
PN-52-10-01-102003,Aluminum,Metal_Recycling,100%,No,Standard,Very_Low,18
PN-52-10-01-103001,Titanium,Metal_Recycling,100%,No,Specialty_Recycler,Very_Low,105
PN-52-10-01-103002,Titanium,Metal_Recycling,100%,No,Specialty_Recycler,Very_Low,140
PN-52-10-01-201001,17-4PH_SS,Metal_Recycling,100%,No,Standard,Very_Low,9
PN-52-10-01-201002,Steel,Metal_Recycling,100%,No,Standard,Very_Low,3
PN-52-10-01-201003,Steel,Metal_Recycling,100%,No,Standard,Very_Low,2
PN-52-10-01-202001,Ti-6Al-4V,Metal_Recycling,100%,No,Specialty_Recycler,Very_Low,175
PN-52-10-01-202002,Steel,Metal_Recycling,100%,No,Standard,Very_Low,4
PN-52-10-01-202003,Bronze,Metal_Recycling,95%,No,Standard,Low,8
PN-52-10-01-203001,Mixed_Metals,Motor_Recycling,85%,Yes,Oil_Drain_Required,Medium,18
PN-52-10-01-203002,Steel_Aluminum,Metal_Recycling,95%,Yes,Oil_Drain_Required,Low,12
PN-52-10-01-203003,Steel,Metal_Recycling,100%,No,Standard,Very_Low,5
PN-52-10-01-204001,Rubber,Energy_Recovery,30%,No,Standard,High,1
PN-52-10-01-204002,Silicone,Energy_Recovery,30%,No,Standard,High,1
PN-52-10-01-301001,Aluminum,WEEE,100%,No,Standard,Very_Low,2
PN-52-10-01-301002,Mixed,WEEE,75%,No,Standard,Low,3
PN-52-10-01-302001,PCB,WEEE_Special,75%,Yes,Precious_Metal_Recovery,Medium,15
PN-52-10-01-302002,PCB,WEEE_Special,75%,Yes,Precious_Metal_Recovery,Medium,8
PN-52-10-01-303001,Mixed,WEEE,75%,No,Standard,Low,4
PN-52-10-01-303002,Mixed,WEEE,75%,No,Standard,Low,3
PN-52-10-01-303003,Mixed,WEEE,75%,Yes,Battery_Removal,Medium,2
PN-52-10-01-304001,Copper_Aluminum,Copper_Recovery,95%,No,Insulation_Removal,Low,12
PN-52-10-01-304002,Copper_Aluminum,Copper_Recovery,95%,No,Insulation_Removal,Low,7
PN-52-10-01-401001,Digital,Digital_Archival,N/A,No,Data_Erasure,None,0
PN-52-10-01-401002,Digital,Digital_Archival,N/A,No,Data_Erasure,None,0
PN-52-10-01-402001,Digital,Digital_Archival,N/A,No,Data_Erasure,None,0
PN-52-10-01-402002,Digital,Digital_Archival,N/A,No,Data_Erasure,None,0
PN-52-10-01-501001,Silicone,Chemical_Treatment,0%,Yes,Ventilation_Required,High,0
