Activity,Responsible,Accountable,Consulted,Informed
Create_Design_Docs,Design_Engineer,Lead_Engineer,SMEs,Program_Manager
Review_Technical,Lead_Engineer,Chief_Engineer,Design_Team,Quality
Approve_Safety,Safety_Engineer,Program_Manager,Design_Lead,Team
Update_CAOS,Software_Lead,IT_Manager,Operations,Users
Certification_Docs,DER,Chief_Engineer,Compliance,Authority
Change_Approval,CRB_Chair,Program_Manager,Affected_Teams,Stakeholders
Risk_Assessment,Risk_Manager,Program_Manager,Technical_Leads,Executive
Quality_Review,QA_Lead,Quality_Manager,Engineers,Program
Training_Materials,Training_Lead,HR_Manager,SMEs,Users
Performance_Metrics,Data_Analyst,Program_Manager,All_Leads,Executive
Document_Control,Doc_Controller,Program_Manager,All_Authors,Stakeholders
Version_Management,Config_Manager,Lead_Engineer,Dev_Team,Program
Baseline_Management,Config_Manager,Chief_Engineer,CRB,Stakeholders
Audit_Coordination,QA_Lead,Quality_Manager,All_Teams,Executive
Compliance_Tracking,Compliance_Officer,Program_Manager,Regulatory_Leads,Executive
Stakeholder_Comms,Comms_Lead,Program_Manager,Key_Stakeholders,All_Teams
Meeting_Management,Admin_Lead,Program_Manager,Team_Leads,Participants
Risk_Mitigation,Risk_Owner,Program_Manager,Risk_Manager,Executive
Knowledge_Capture,Knowledge_Manager,Program_Manager,SMEs,All_Teams
Innovation_Management,Innovation_Lead,Chief_Engineer,R&D_Team,Executive
