Document_ID,Document_Name,Version,Date,Owner,Status,Folder,Review_Status,Approval_Status
DOC-52-10-01-001,Door_L1_Overview,1.0,2025-11-03,Design_Lead,Complete,01_OVERVIEW,Approved,Approved
DOC-52-10-01-002,Safety_Assessment,1.0,2025-11-03,Safety_Engineer,Complete,02_SAFETY,In_Review,Pending
DOC-52-10-01-003,Requirements_Specification,2.0,2025-11-03,Systems_Engineer,Complete,03_REQUIREMENTS,Approved,Approved
DOC-52-10-01-004,Design_Description,1.2,2025-11-03,Design_Engineer,In_Progress,04_DESIGN,In_Review,Pending
DOC-52-10-01-005,Interface_Control_Document,1.0,2025-11-03,Interface_Engineer,Complete,05_INTERFACES,In_Review,Pending
DOC-52-10-01-006,FEA_Analysis_Report,0.5,2025-11-03,Analysis_Engineer,Draft,06_ENGINEERING,Not_Started,Pending
DOC-52-10-01-007,Test_Plan,0.8,2025-11-03,Test_Engineer,In_Progress,07_V_AND_V,Not_Started,Pending
DOC-52-10-01-008,Prototype_Specification,0.3,2025-11-03,Prototype_Lead,Draft,08_PROTOTYPING,Not_Started,Pending
DOC-52-10-01-009,Manufacturing_Plan,0.5,2025-11-03,Manufacturing_Engineer,Draft,09_PRODUCTION,Not_Started,Pending
DOC-52-10-01-010,Certification_Plan,0.6,2025-11-03,Certification_Engineer,In_Progress,10_CERTIFICATION,Not_Started,Pending
DOC-52-10-01-011,Maintenance_Manual,0.8,2025-11-03,Maintenance_Engineer,In_Progress,11_OPERATIONS,In_Review,Pending
DOC-52-10-01-012,Spares_Catalog,0.7,2025-11-03,Logistics_Engineer,In_Progress,12_ASSETS,In_Review,Pending
DOC-52-10-01-013,Subsystems_Breakdown,1.0,2025-11-03,Systems_Engineer,Complete,13_SUBSYSTEMS,In_Review,Pending
DOC-52-10-01-014,Governance_Dashboard,1.1,2025-11-03,Program_Manager,Complete,14_META_GOVERNANCE,Approved,Approved
